County Name,Precinct Name,Precinct Code,Region Name,Media Market,Registered Voters,Ballots Counted,Official Voter Turnout
Total,,,,,"7,950,303","3,103,213",39.03%
Adams,BRATTON TOWNSHIP,AAA,Southwest,Cincinnati,954,370,38.78%
Adams,BRUSH CREEK TOWNSHIP,AAB,Southwest,Cincinnati,751,226,30.09%
Adams,LOCUST GROVE,AAD,Southwest,Cincinnati,753,254,33.73%
Adams,GREEN TOWNSHIP,AAE,Southwest,Cincinnati,368,102,27.72%
Adams,JEFFERSON TOWNSHIP,AAG,Southwest,Cincinnati,478,160,33.47%
Adams,LIBERTY TOWNSHIP,AAI,Southwest,Cincinnati,"1,259",441,35.03%
Adams,MANCHESTER UNITED TOWNSHIP,AAK,Southwest,Cincinnati,"1,041",218,20.94%
Adams,MEIGS TOWNSHIP,AAN,Southwest,Cincinnati,"1,229",418,34.01%
Adams,PEEBLES VILLAGE,AAP,Southwest,Cincinnati,"1,129",277,24.53%
Adams,MONROE TOWNSHIP,AAR,Southwest,Cincinnati,428,145,33.88%
Adams,OLIVER TOWNSHIP,AAS,Southwest,Cincinnati,686,232,33.82%
Adams,SCOTT TOWNSHIP,AAT,Southwest,Cincinnati,752,298,39.63%
Adams,SEAMAN VILLAGE,AAU,Southwest,Cincinnati,601,178,29.62%
Adams,SPRIGG TOWNSHIP,AAW,Southwest,Cincinnati,"1,158",324,27.98%
Adams,TIFFIN EAST,AAY,Southwest,Cincinnati,724,257,35.50%
Adams,TIFFIN WEST,AAZ,Southwest,Cincinnati,730,274,37.53%
Adams,WEST UNION A,ABA,Southwest,Cincinnati,848,269,31.72%
Adams,WEST UNION B,ABC,Southwest,Cincinnati,889,234,26.32%
Adams,WAYNE TOWNSHIP,ABE,Southwest,Cincinnati,835,328,39.28%
Adams,WINCHESTER TOWNSHIP,ABG,Southwest,Cincinnati,801,346,43.20%
Adams,WINCHESTER VILLAGE,ABH,Southwest,Cincinnati,589,222,37.69%
Allen,DELPHOS 1A,AAA,West,Lima,696,269,38.65%
Allen,DELPHOS 1B,AAC,West,Lima,585,287,49.06%
Allen,DELPHOS 2A,AAE,West,Lima,733,233,31.79%
Allen,DELPHOS 2B,AAG,West,Lima,371,78,21.02%
