county_name,precinct_name,precinct_code,region_name,media_market,registered_voters,ballots_counted,official_voter_turnout
Adams,BRATTON TOWNSHIP,AAA,Southwest,Cincinnati,954,370,38.78406708595388
Adams,BRUSH CREEK TOWNSHIP,AAB,Southwest,Cincinnati,751,226,30.093209054593874
Adams,LOCUST GROVE,AAD,Southwest,Cincinnati,753,254,33.731739707835324
Adams,GREEN TOWNSHIP,AAE,Southwest,Cincinnati,368,102,27.717391304347824
Adams,JEFFERSON TOWNSHIP,AAG,Southwest,Cincinnati,478,160,33.47280334728033
Adams,LIBERTY TOWNSHIP,AAI,Southwest,Cincinnati,1259,441,35.02779984114377
Adams,MANCHESTER UNITED TOWNSHIP,AAK,Southwest,Cincinnati,1041,218,20.941402497598464
Adams,MEIGS TOWNSHIP,AAN,Southwest,Cincinnati,1229,418,34.01139137510171
Adams,PEEBLES VILLAGE,AAP,Southwest,Cincinnati,1129,277,24.53498671390611
Adams,MONROE TOWNSHIP,AAR,Southwest,Cincinnati,428,145,33.87850467289719
Adams,OLIVER TOWNSHIP,AAS,Southwest,Cincinnati,686,232,33.819241982507286
Adams,SCOTT TOWNSHIP,AAT,Southwest,Cincinnati,752,298,39.62765957446808
Adams,SEAMAN VILLAGE,AAU,Southwest,Cincinnati,601,178,29.617304492512478
Adams,SPRIGG TOWNSHIP,AAW,Southwest,Cincinnati,1158,324,27.979274611398964
Adams,TIFFIN EAST,AAY,Southwest,Cincinnati,724,257,35.49723756906077
Adams,TIFFIN WEST,AAZ,Southwest,Cincinnati,730,274,37.534246575342465
Adams,WEST UNION A,ABA,Southwest,Cincinnati,848,269,31.721698113207548
Adams,WEST UNION B,ABC,Southwest,Cincinnati,889,234,26.321709786276717
Adams,WAYNE TOWNSHIP,ABE,Southwest,Cincinnati,835,328,39.281437125748504
Adams,WINCHESTER TOWNSHIP,ABG,Southwest,Cincinnati,801,346,43.1960049937578
Adams,WINCHESTER VILLAGE,ABH,Southwest,Cincinnati,589,222,37.69100169779287
Allen,DELPHOS 1A,AAA,West,Lima,696,269,38.64942528735632
Allen,DELPHOS 1B,AAC,West,Lima,585,287,49.05982905982906
Allen,DELPHOS 2A,AAE,West,Lima,733,233,31.78717598908595
Allen,DELPHOS 2B,AAG,West,Lima,371,78,21.024258760107816
Allen,LIMA 1A,AAH,West,Lima,885,213,24.06779661016949
Allen,LIMA 1B,AAJ,West,Lima,894,211,23.60178970917226
Allen,LIMA 1C,AAK,West,Lima,743,129,17.362045760430686
Allen,LIMA 2A,AAO,West,Lima,1060,277,26.132075471698112
Allen,LIMA 2B,AAP,West,Lima,954,289,30.29350104821803
Allen,LIMA 2C,AAQ,West,Lima,1023,271,26.490713587487782
Allen,LIMA 3A,AAW,West,Lima,930,129,13.870967741935484
Allen,LIMA 3B,AAX,West,Lima,1028,104,10.116731517509727
Allen,LIMA 3C,AAY,West,Lima,843,172,20.40332147093713
Allen,LIMA 4A,ABE,West,Lima,849,390,45.936395759717314
Allen,LIMA 4B,ABF,West,Lima,845,188,22.24852071005917
Allen,LIMA 4C,ABH,West,Lima,753,244,32.40371845949535
Allen,LIMA 4D,ABI,West,Lima,985,349,35.431472081218274
Allen,LIMA 5A,ABP,West,Lima,603,96,15.92039800995025
Allen,LIMA 5B,ABQ,West,Lima,602,66,10.96345514950166
Allen,LIMA 5C,ABR,West,Lima,667,105,15.742128935532234
Allen,LIMA 5D,ABT,West,Lima,735,131,17.82312925170068
Allen,LIMA 6A,ABW,West,Lima,864,206,23.84259259259259
Allen,LIMA 6B,ABX,West,Lima,920,124,13.478260869565217
Allen,LIMA 6C,ABZ,West,Lima,937,130,13.874066168623266
Allen,LIMA 7A,ACD,West,Lima,1148,352,30.662020905923345
Allen,LIMA 7B,ACE,West,Lima,982,270,27.4949083503055
