forecast_date,state,projected_voteshare,actual_voteshare,probwin,probwin_outcome
2020-11-01,WY,31.04153,26.553574332014524,0.001625,0
2020-11-01,WI,53.40412,49.44953686142774,0.92845,1
2020-11-01,WV,34.08701,29.695101234443623,0.008275,0
2020-11-01,WA,60.72721,57.97030113530306,0.991025,1
2020-11-01,VA,55.5033,54.109517177802424,0.988575,1
2020-11-01,VT,67.5423,66.08641693066397,0.995375,1
2020-11-01,UT,41.50398,37.64604858330606,0.041425,0
2020-11-01,TX,48.72335,46.47900991387051,0.376975,0
2020-11-01,TN,41.37757,37.4514342710237,0.029075,0
2020-11-01,SD,40.85121,35.60525213613529,0.0518,0
2020-11-01,SC,45.43411,43.430088142061784,0.083125,0
2020-11-01,RI,62.91185,59.38809132469479,0.9991,1
2020-11-01,PA,52.17144,50.00849567544814,0.860725,1
2020-11-01,OR,58.09018,56.45331865404888,0.976925,1
2020-11-01,OK,36.84909,32.28617433598664,0.005375,0
2020-11-01,OH,49.47001,45.239338340705025,0.49445,0
2020-11-01,ND,37.89685,31.756762359080092,0.022475,0
2020-11-01,NC,50.53305,48.586194188970325,0.642175,0
2020-11-01,NY,64.4269,56.37083287084579,0.9999,1
2020-11-01,NM,55.47501,54.289285849572224,0.97505,1
2020-11-01,NJ,60.434,57.334196752812986,0.99415,1
2020-11-01,NH,54.72778,52.70830620003597,0.885325,1
2020-11-01,NV,52.18319,50.056781957284024,0.866675,1
2020-11-01,NE,40.28532,39.166630941787965,0.006225,0
2020-11-01,NE,25.55128,22.336185814924484,1.25e-4,0
2020-11-01,NE,51.18124,51.95338950616194,0.739725,1
2020-11-01,NE,43.12676,41.089391896509945,0.039075,0
2020-11-01,MT,45.3754,40.5495037039982,0.1506,0
2020-11-01,MO,44.918,41.40878173618836,0.076925,0
2020-11-01,MS,42.43169,41.05760645597861,0.08325,0
2020-11-01,MN,53.73943,52.39509930974001,0.9547,1
2020-11-01,MI,53.5659,50.62081829082437,0.9509,1
2020-11-01,MA,66.79147,65.6000630059685,0.999525,1
2020-11-01,MD,64.3525,65.36066486007711,0.99945,1
2020-11-01,ME,55.27489,53.09245955573236,0.903475,1
2020-11-01,ME,50.14056,44.82435186489136,0.5771,0
2020-11-01,ME,59.91084,60.114824243080754,0.9724,1
2020-11-01,LA,40.03936,39.85145680152621,0.026475,0
2020-11-01,KY,40.41837,36.15151481115404,0.014925,0
2020-11-01,KS,43.47066,41.55955353883217,0.028725,0
2020-11-01,IA,48.38765,44.89171557144218,0.369325,0
2020-11-01,IN,44.41026,40.9616365453274,0.047025,0
2020-11-01,IL,57.6512,57.541635840035646,0.998625,1
2020-11-01,ID,37.33036,33.06640215480395,0.005275,0
2020-11-01,HI,67.2147,63.73363923901899,0.9932,1
2020-11-01,GA,49.90561,49.473055784446274,0.55,1
2020-11-01,FL,50.69193,47.86145072544223,0.666025,0
2020-11-01,DC,90.86974,92.14969392140692,1,1
2020-11-01,DE,62.00129,58.745451841570414,0.999975,1
2020-11-01,CT,61.04163,59.26144634794266,0.9991,1
2020-11-01,CO,54.6851,55.3995419069199,0.9609,1
2020-11-01,CA,63.57663,63.48394689387351,0.9981,1
2020-11-01,AR,37.84279,34.77506195301496,0.00925,0
2020-11-01,AZ,50.82426,49.364690614366616,0.70165,1
2020-11-01,AK,44.59486,42.771952271020496,0.148875,0
2020-11-01,AL,39.61707,36.569990212122335,0.015725,0
2020-10-01,WY,28.4433,26.553574332014524,0.0017,0
2020-10-01,WI,52.6394,49.44953686142774,0.826275,1
2020-10-01,WV,32.39557,29.695101234443623,0.006825,0
2020-10-01,WA,60.89717,57.97030113530306,0.99105,1
2020-10-01,VA,55.12396,54.109517177802424,0.9655,1
2020-10-01,VT,63.5663,66.08641693066397,0.98665,1
2020-10-01,UT,39.97179,37.64604858330606,0.03625,0
2020-10-01,TX,47.74022,46.47900991387051,0.299825,0
2020-10-01,TN,41.5392,37.4514342710237,0.039425,0
2020-10-01,SD,39.25748,35.60525213613529,0.027175,0
2020-10-01,SC,45.81586,43.430088142061784,0.1397,0
2020-10-01,RI,61.39273,59.38809132469479,0.99365,1
2020-10-01,PA,52.19846,50.00849567544814,0.799925,1
2020-10-01,OR,56.04593,56.45331865404888,0.9405,1
2020-10-01,OK,36.27224,32.28617433598664,0.006125,0
2020-10-01,OH,49.83371,45.239338340705025,0.537675,0
2020-10-01,ND,37.14095,31.756762359080092,0.009375,0
2020-10-01,NC,49.92085,48.586194188970325,0.539325,0
2020-10-01,NY,62.8259,56.37083287084579,0.9995,1
2020-10-01,NM,55.80338,54.289285849572224,0.95515,1
2020-10-01,NJ,58.92041,57.334196752812986,0.978975,1
2020-10-01,NH,53.35252,52.70830620003597,0.7828,1
2020-10-01,NV,52.58176,50.056781957284024,0.83955,1
2020-10-01,NE,40.02991,39.166630941787965,0.010925,0
2020-10-01,NE,25.48458,22.336185814924484,4.5e-4,0
2020-10-01,NE,50.91621,51.95338950616194,0.672875,1
2020-10-01,NE,42.70282,41.089391896509945,0.0525,0
2020-10-01,MT,43.83428,40.5495037039982,0.132475,0
2020-10-01,MO,44.53528,41.40878173618836,0.095375,0
2020-10-01,MS,43.97233,41.05760645597861,0.1397,0
2020-10-01,MN,53.29966,52.39509930974001,0.888725,1
2020-10-01,MI,53.09962,50.62081829082437,0.871075,1
2020-10-01,MA,65.54968,65.6000630059685,0.9987,1
2020-10-01,MD,63.72745,65.36066486007711,0.99895,1
2020-10-01,ME,55.18243,53.09245955573236,0.884,1
2020-10-01,ME,49.54439,44.82435186489136,0.52835,0
2020-10-01,ME,60.29021,60.114824243080754,0.972225,1
2020-10-01,LA,43.12403,39.85145680152621,0.096575,0
2020-10-01,KY,39.23922,36.15151481115404,0.01485,0
2020-10-01,KS,43.43957,41.55955353883217,0.059225,0
2020-10-01,IA,48.19358,44.89171557144218,0.376525,0
2020-10-01,IN,42.85018,40.9616365453274,0.038275000000000003,0
2020-10-01,IL,57.43836,57.541635840035646,0.994,1
2020-10-01,ID,35.28153,33.06640215480395,0.00385,0
2020-10-01,HI,65.91305,63.73363923901899,0.989575,1
2020-10-01,GA,49.02008,49.473055784446274,0.423775,1
2020-10-01,FL,50.46338,47.86145072544223,0.604325,0
2020-10-01,DC,90.84017,92.14969392140692,1,1
2020-10-01,DE,60.66762,58.745451841570414,0.99925,1
2020-10-01,CT,59.36539,59.26144634794266,0.99185,1
2020-10-01,CO,53.71696,55.3995419069199,0.8903,1
2020-10-01,CA,64.05972,63.48394689387351,0.997975,1
2020-10-01,AR,42.08474,34.77506195301496,0.0601,0
2020-10-01,AZ,50.64658,49.364690614366616,0.64175,1
2020-10-01,AK,45.1717,42.771952271020496,0.2186,0
2020-10-01,AL,40.72155,36.569990212122335,0.030125,0
2020-09-01,WY,27.77422,26.553574332014524,0.00165,0
2020-09-01,WI,51.5223,49.44953686142774,0.693625,1
2020-09-01,WV,31.61712,29.695101234443623,0.006725,0
2020-09-01,WA,60.56023,57.97030113530306,0.98675,1
2020-09-01,VA,54.57504,54.109517177802424,0.921375,1
2020-09-01,VT,65.6283,66.08641693066397,0.9903,1
2020-09-01,UT,39.41009,37.64604858330606,0.043575,0
2020-09-01,TX,46.77496,46.47900991387051,0.2425,0
2020-09-01,TN,40.90332,37.4514342710237,0.042475,0
2020-09-01,SD,38.51852,35.60525213613529,0.0336,0
2020-09-01,SC,44.96166,43.430088142061784,0.11595,0
2020-09-01,RI,60.57513,59.38809132469479,0.9835,1
2020-09-01,PA,51.36077,50.00849567544814,0.685925,1
2020-09-01,OR,55.62931,56.45331865404888,0.9067,1
2020-09-01,OK,35.3932,32.28617433598664,0.0066,0
2020-09-01,OH,48.24462,45.239338340705025,0.379175,0
2020-09-01,ND,36.10531,31.756762359080092,0.0114,0
2020-09-01,NC,49.27008,48.586194188970325,0.461625,0
2020-09-01,NY,61.95085,56.37083287084579,0.998025,1
2020-09-01,NM,54.79656,54.289285849572224,0.9006,1
2020-09-01,NJ,58.20475,57.334196752812986,0.958275,1
2020-09-01,NH,52.15929,52.70830620003597,0.692375,1
2020-09-01,NV,51.90165,50.056781957284024,0.758675,1
2020-09-01,NE,39.30769,39.166630941787965,0.014175,0
2020-09-01,NE,24.83864,22.336185814924484,1.5e-4,0
2020-09-01,NE,49.9493,51.95338950616194,0.556775,1
2020-09-01,NE,42.13759,41.089391896509945,0.0593,0
2020-09-01,MT,42.54776,40.5495037039982,0.110975,0
2020-09-01,MO,43.60499,41.40878173618836,0.095825,0
2020-09-01,MS,43.19081,41.05760645597861,0.11795,0
