ccode1,n_events,fatalmin,fatalmax,country
2,159,76,102,United States
20,14,0,0,Canada
42,3,0,0,Dominican Republic
51,1,0,0,Jamaica
80,4,0,0,Belize
90,2,0,0,Guatemala
91,9,0,0,Honduras
93,1,0,0,Nicaragua
94,1,0,0,Costa Rica
95,1,0,0,Panama
100,12,0,0,Colombia
101,11,0,0,Venezuela
110,2,0,0,Guyana
115,4,0,0,Suriname
130,6,0,0,Ecuador
140,3,0,0,Brazil
160,1,0,0,Argentina
200,73,24,71,United Kingdom
210,7,0,0,Netherlands
211,5,0,0,Belgium
212,1,0,0,Luxembourg
220,14,9,9,France
230,7,0,0,Spain
235,6,0,0,Portugal
255,5,1,1,Germany
290,5,11,20,Poland
310,1,0,0,Hungary
316,1,0,0,Czechia
317,1,0,0,Slovakia
325,7,0,0,Italy
339,3,0,0,Albania
341,1,0,0,Montenegro
344,2,0,0,Croatia
345,80,0,0,Yugoslavia
349,1,0,0,Slovenia
350,46,0,0,Greece
355,2,0,0,Bulgaria
359,1,0,0,Moldova
360,3,0,0,Romania
365,153,28,150,Russia
366,1,0,0,Estonia
367,1,0,0,Latvia
368,2,0,0,Lithuania
369,24,0,0,Ukraine
370,1,0,0,Belarus
371,90,29,86,Armenia
372,12,0,0,Georgia
373,22,0,0,Azerbaijan
375,3,0,0,Finland
380,6,0,0,Sweden
385,13,0,0,Norway
390,13,0,0,Denmark
395,1,0,0,Iceland
432,1,0,0,Mali
433,1,0,0,Senegal
436,1,0,0,Niger
437,1,0,0,Côte d’Ivoire
438,8,0,0,Guinea
450,6,0,0,Liberia
451,4,0,0,Sierra Leone
452,1,0,0,Ghana
461,1,0,0,Togo
471,2,0,0,Cameroon
482,6,20,20,Central African Republic
483,14,2,26,Chad
490,15,16,262,Congo - Kinshasa
500,32,37,565,Uganda
501,18,0,0,Kenya
516,3,0,0,Burundi
517,27,16,425,Rwanda
520,2,1,1,Somalia
522,1,2,2,Djibouti
530,37,6010,10010,Ethiopia
531,12,10,50,Eritrea
540,5,0,0,Angola
551,4,0,0,Zambia
552,3,0,0,Zimbabwe
600,1,0,0,Morocco
615,1,0,0,Algeria
616,4,0,0,Tunisia
620,3,0,0,Libya
625,29,2,27,Sudan
626,6,0,0,South Sudan
630,92,5,5,Iran
640,138,1,10,Turkey
645,22,80,120,Iraq
651,1,2,2,Egypt
652,40,1,1,Syria
660,30,29,106,Lebanon
663,1,0,0,Jordan
666,252,0,0,Israel
670,7,10,10,Saudi Arabia
679,2,0,0,Yemen
690,5,0,0,Kuwait
692,1,0,0,Bahrain
694,3,0,0,Qatar
696,4,0,0,United Arab Emirates
698,1,0,0,Oman
700,89,834,1155,Afghanistan
701,2,0,0,Turkmenistan
702,15,2,2,Tajikistan
703,10,1,1,Kyrgyzstan
704,17,1,1,Uzbekistan
705,4,0,0,Kazakhstan
710,171,0,0,China
713,20,0,0,Taiwan
731,82,14,38,North Korea
732,77,0,0,South Korea
740,53,0,0,Japan
750,235,63,266,India
770,109,0,0,Pakistan
771,16,1,1,Bangladesh
775,25,26,100,Myanmar (Burma)
790,1,0,0,Nepal
800,40,1,10,Thailand
811,11,0,0,Cambodia
816,3,0,0,Vietnam
820,12,0,0,Malaysia
840,7,0,0,Philippines
850,3,0,0,Indonesia
900,2,0,0,Australia
