GEOID,state,total,white,black,asian,pct_white,pct_black,pct_asian,region,st,fips,total_vote,vote_margin,winner,party,pct_margin,r_points,d_points,pct_harris,pct_trump,pct_other,harris_vote,trump_vote,other_vote,ev_dem,ev_rep,ev_other,census
01,Alabama,5086768,3284260,1311062,74435,64.56476882767211,25.773968854093603,1.4633063666359465,South,AL,01,2265090,690204,Trump,Republican,0.30471371998463637,30.47137199846364,-30.47137199846364,0.341,0.6457,0.0133,772412,1462616,30062,0,9,0,South
02,Alaska,735706,438178,22071,47423,59.55884551709515,2.9999755337050398,6.445917254990445,West,AK,02,338177,44432,Trump,Republican,0.13138681814552733,13.138681814552733,-13.138681814552733,0.4141,0.5454,0.0405,140026,184458,13693,0,3,0,West
04,Arizona,7378838,4353879,339563,264019,59.00494088635636,4.601849234256125,3.5780565991555853,West,AZ,04,3390161,187382,Trump,Republican,0.05527230122699187,5.527230122699187,-5.527230122699187,0.4669,0.5222,0.010900000000000002,1582860,1770242,37059,0,11,0,West
05,Arkansas,3049391,2108596,448673,49686,69.14810203086452,14.71352804543596,1.6293745210109165,South,AR,05,1182676,362336,Trump,Republican,0.3063696227876443,30.63696227876443,-30.63696227876443,0.3356,0.642,0.0224,396905,759241,26530,0,6,0,South
06,California,39287377,15604753,2134516,6100560,39.71950838051622,5.433083506694784,15.52804097865836,West,CA,06,15865475,-3194482,Harris,Democratic,-0.20134802141127195,-20.134802141127196,20.134802141127196,0.5847,0.3833,0.032100000000000004,9276179,6081697,507599,54,0,0,West
08,Colorado,5862189,4133760,237409,192697,70.51563844154461,4.049835308960527,3.287116809096397,West,CO,08,3192745,-350718,Harris,Democratic,-0.10984842196918326,-10.984842196918326,10.984842196918326,0.5413,0.4314,0.0273,1728159,1377441,87145,10,0,0,West
09,Connecticut,3624508,2361298,384165,174560,65.14809734176336,10.599093725272505,4.816101937145676,Northeast,CT,09,1759010,-255135,Harris,Democratic,-0.14504465580070608,-14.504465580070608,14.504465580070608,0.564,0.4189,0.017,992053,736918,30039,7,0,0,Northeast
10,Delaware,1021191,611821,223830,43748,59.91249433259792,21.91852454633854,4.284017387540627,South,DE,10,512912,-75407,Harris,Democratic,-0.1470174220918988,-14.70174220918988,14.70174220918988,0.5649,0.4179,0.0172,289758,214351,8803,3,0,0,South
12,Florida,22416077,12529014,3382877,656903,55.89298252321314,15.091298089313309,2.9304993911289654,South,FL,12,10893752,1427087,Trump,Republican,0.1310005037750079,13.100050377500791,-13.100050377500791,0.4299,0.5609,0.0092,4683038,6110125,100589,0,30,0,South
13,Georgia,10940407,5574133,3401114,495388,50.94996008832212,31.08763686762293,4.528058234030964,South,GA,13,5250905,115100,Trump,Republican,0.021920030928001936,2.1920030928001935,-2.1920030928001935,0.4853,0.5072,0.0076,2548017,2663117,39771,0,16,0,South
15,Hawaii,1445235,319370,27320,533801,22.098136289253997,1.8903500122817396,36.93523890578349,West,HI,15,516701,-119383,Harris,Democratic,-0.2310485174211004,-23.104851742110043,23.104851742110043,0.6059,0.3748,0.0194,313044,193661,9996,4,0,0,West
16,Idaho,1934262,1579907,14937,26432,81.6800929760291,0.7722325103838054,1.3665160148935356,West,ID,16,905057,330274,Trump,Republican,0.36492066245551386,36.492066245551385,-36.492066245551385,0.3038,0.6687,0.027500000000000004,274972,605246,24839,0,4,0,West
17,Illinois,12694798,7742980,1723233,762007,60.99332970875157,13.574323908107871,6.002513785567915,North Central,IL,17,5633310,-613784,Harris,Democratic,-0.10895619094280272,-10.895619094280272,10.895619094280272,0.5437,0.4347,0.0215,3062863,2449079,121368,19,0,0,Midwest
18,Indiana,6851073,5283839,630831,180134,77.1242548430005,9.207769352333568,2.6292815738498185,North Central,IN,18,2936677,556744,Trump,Republican,0.1895829878464673,18.95829878464673,-18.95829878464673,0.3962,0.5858,0.018000000000000002,1163603,1720347,52727,0,11,0,Midwest
19,Iowa,3210507,2701598,124520,79943,84.14864069755961,3.8785151379517315,2.4900428499299334,North Central,IA,19,1663506,219741,Trump,Republican,0.13209510515742054,13.209510515742053,-13.209510515742053,0.4252,0.5573,0.0175,707278,927019,29209,0,6,0,Midwest
20,Kansas,2947197,2240383,156891,86924,76.0174158700623,5.323397112578494,2.9493786808279188,North Central,KS,20,1327591,213949,Trump,Republican,0.16115580777513558,16.115580777513557,-16.115580777513557,0.4104,0.5716,0.018000000000000002,544853,758802,23936,0,6,0,Midwest
21,Kentucky,4534824,3745354,346828,73255,82.59094509511284,7.648102770912388,1.6153879400832314,South,KY,21,2074530,633451,Trump,Republican,0.30534675324049304,30.534675324049303,-30.534675324049303,0.3394,0.6447,0.015899999999999997,704043,1337494,32993,0,8,0,South
22,Louisiana,4611961,2625852,1417851,80052,56.935693948843024,30.742909577943088,1.7357475486024274,South,LA,22,2006975,441635,Trump,Republican,0.2200500753621744,22.00500753621744,-22.00500753621744,0.3821,0.6022,0.0155,766870,1208505,31600,0,8,0,South
23,Maine,1387817,1255888,25427,16006,90.49377547616149,1.8321579862474662,1.1533220878545227,Northeast,ME,23,831375,-57675,Harris,Democratic,-0.06937302661253947,-6.937302661253947,6.937302661253947,0.524,0.4546,0.0214,435652,377977,17746,2,0,0,Northeast
24,Maryland,6206011,2988904,1822132,408580,48.16143574350738,29.360760075997288,6.583617077056421,South,MD,24,3038334,-867027,Harris,Democratic,-0.2853626362341994,-28.536263623419938,28.536263623419938,0.6262,0.3408,0.033,1902577,1035550,100207,10,0,0,South
25,Massachusetts,7044056,4835274,481930,514481,68.64332140459986,6.841654864754057,7.303760787818836,Northeast,MA,25,3473668,-875215,Harris,Democratic,-0.2519570091327093,-25.19570091327093,25.19570091327093,0.6122,0.3602,0.0275,2126518,1251303,95847,11,0,0,Northeast
26,Michigan,10077761,7431505,1337239,345417,73.74162772861949,13.269207316982412,3.4275172828567775,North Central,MI,26,5664186,80103,Trump,Republican,0.014142014404187999,1.4142014404188,-1.4142014404188,0.4831,0.4973,0.0196,2736533,2816636,111017,0,15,0,Midwest
27,Minnesota,5739445,4424768,402812,293512,77.0940047339072,7.01830926160979,5.113943944057309,North Central,MN,27,3253920,-137947,Harris,Democratic,-0.04239409696612086,-4.2394096966120864,4.2394096966120864,0.5092,0.4668,0.024,1656979,1519032,77909,10,0,0,Midwest
28,Mississippi,2946779,1644516,1072849,29907,55.80723902267527,36.407514781393516,1.0149047485406948,South,MS,28,1228008,281076,Trump,Republican,0.22888775968886196,22.888775968886197,-22.888775968886197,0.38,0.6089,0.0111,466668,747744,13596,0,6,0,South
29,Missouri,6191814,4799142,679534,132185,77.50785149553911,10.974715971765301,2.134834799624149,North Central,MO,29,2995327,551387,Trump,Republican,0.1840824056939359,18.40824056939359,-18.40824056939359,0.4008,0.5849,0.0143,1200599,1751986,42742,0,10,0,Midwest
30,Montana,1116875,949109,5058,9119,84.97898153329602,0.45287073307218806,0.8164745383324007,West,MT,30,602990,120173,Trump,Republican,0.19929517902452776,19.929517902452776,-19.929517902452776,0.3846,0.5839,0.03154,231906,352079,19005,0,4,0,West
31,Nebraska,1978707,1540812,94131,50997,77.86963911281458,4.757197503218011,2.5772891084935767,North Central,NE,31,952182,194821,Trump,Republican,0.20460479194103648,20.460479194103648,-20.460479194103648,0.3886,0.5932,0.0182,369995,564816,17371,0,2,0,Midwest
32,Nevada,3184612,1586636,298068,285355,49.82195633251398,9.35963313584198,8.960432228478696,West,NV,32,1484840,46008,Trump,Republican,0.030985156649874734,3.0985156649874734,-3.0985156649874734,0.4749,0.5059,0.019200000000000002,705197,751205,28438,0,6,0,West
33,New Hampshire,1394868,1226297,20338,35872,87.91491381263316,1.4580591138372951,2.571712878924744,Northeast,NH,33,826189,-22965,Harris,Democratic,-0.027796303267170103,-2.7796303267170104,2.7796303267170104,0.5065,0.4787,0.014799999999999999,418488,395523,12178,4,0,0,Northeast
34,New Jersey,9343809,5043686,1194061,946907,53.97890731713373,12.7791674679994,10.134057748825988,Northeast,NJ,34,4272725,-252498,Harris,Democratic,-0.05909530802941917,-5.909530802941917,5.909530802941917,0.5197,0.4606,0.0196,2220713,1968215,83797,14,0,0,Northeast
35,New Mexico,2120246,1012573,44773,37128,47.75733570538513,2.1116889266622834,1.7511175590002295,West,NM,35,923403,-55411,Harris,Democratic,-0.060007385724326213,-6.000738572432621,6.000738572432621,0.5185,0.4585,0.023,478802,423391,21210,5,0,0,West
36,New York,19852366,10959018,2849704,1798641,55.2025788764926,14.354480468474135,9.060083820739553,Northeast,NY,36,8262495,-1040296,Harris,Democratic,-0.1259057947992707,-12.590579479927069,12.590579479927069,0.5591,0.4331,0.0078,4619195,3578899,64401,28,0,0,Northeast
37,North Carolina,10730404,6630087,2176727,354172,61.78785999110564,20.285601548646255,3.300639938626728,South,NC,37,5699141,183048,Trump,Republican,0.032118524528521056,3.2118524528521055,-3.2118524528521055,0.4765,0.5086,0.0149,2715375,2898423,85343,0,16,0,South
38,North Dakota,784841,651072,26784,13062,82.95591081505681,3.4126657501328297,1.6642861420338642,North Central,ND,38,368155,134178,Trump,Republican,0.36446062120574213,36.44606212057421,-36.44606212057421,0.3051,0.6696,0.025299999999999996,112327,246505,9323,0,3,0,Midwest
39,Ohio,11810293,9073101,1440414,302593,76.82367406126164,12.196259652491264,2.5621125572413828,North Central,OH,39,5767788,646417,Trump,Republican,0.11207364070940194,11.207364070940194,-11.207364070940194,0.4393,0.5514,0.009399999999999999,2533699,3180116,53973,0,17,0,Midwest
40,Oklahoma,4028634,2626609,280193,96373,65.19850152682025,6.955037365022486,2.3922004331989455,South,OK,40,1566173,536614,Trump,Republican,0.3426275385924799,34.262753859247994,-34.262753859247994,0.319,0.6616,0.0194,499599,1036213,30361,0,7,0,South
41,Oregon,4254293,3172586,82453,192107,74.57375408792953,1.9381128662271263,4.515603415185555,West,OR,41,2244493,-321120,Harris,Democratic,-0.14307017219478965,-14.307017219478965,14.307017219478965,0.5527,0.4097,0.0375,1240600,919480,84413,8,0,0,West
42,Pennsylvania,13018639,9696255,1386475,499341,74.47979009172924,10.649922776105859,3.8355852712407184,Northeast,PA,42,7058732,120266,Trump,Republican,0.017037904258158546,1.7037904258158547,-1.7037904258158547,0.4866,0.5037,0.0131,3423042,3543308,92382,0,19,0,Northeast
44,Rhode Island,1101801,775483,61142,38862,70.38321802212923,5.549277954912004,3.5271342102611998,Northeast,RI,44,513386,-70750,Harris,Democratic,-0.13781053632159818,-13.781053632159818,13.781053632159818,0.5554,0.4176,0.026799999999999997,285156,214406,13824,4,0,0,Northeast
45,South Carolina,5296225,3353230,1314322,94377,63.31358656401493,24.816203994354467,1.7819673446653042,South,SC,45,2548140,455295,Trump,Republican,0.1786773882125786,17.86773882125786,-17.86773882125786,0.4036,0.5823,0.014100000000000001,1028452,1483747,35941,0,9,0,South
46,South Dakota,907428,732146,20474,12717,80.68364652622577,2.256267163896199,1.401433502162155,North Central,SD,46,428922,125222,Trump,Republican,0.29194585495731157,29.194585495731157,-29.194585495731157,0.3424,0.6343,0.023299999999999998,146859,272081,9982,0,3,0,Midwest
47,Tennessee,7066383,5117326,1099222,134918,72.41789752975461,15.555652729267575,1.909293623060058,South,TN,47,3063942,910600,Trump,Republican,0.29719883731480556,29.719883731480557,-29.719883731480557,0.3447,0.6419,0.0133,1056265,1966865,40812,0,11,0,South
48,Texas,30188424,14645129,3692993,1683136,48.51239998484187,12.233142743721897,5.575435140304111,South,TX,48,11388674,1558347,Trump,Republican,0.13683305009872088,13.683305009872088,-13.683305009872088,0.4246,0.5614,0.0141,4835250,6393597,159827,0,40,0,South
49,Utah,3392331,2671349,39489,82950,78.74670838429387,1.164066831921767,2.445221294738043,West,UT,49,1488494,321252,Trump,Republican,0.21582351020561721,21.58235102056172,-21.58235102056172,0.3779,0.5938,0.0283,562566,883818,42110,0,6,0,West
50,Vermont,647106,586712,7316,11743,90.66706227418692,1.1305721164693265,1.8146949649670996,Northeast,VT,50,369422,-116396,Harris,Democratic,-0.31507598356351274,-31.507598356351274,31.507598356351274,0.6383,0.3232,0.0385,235791,119395,14236,3,0,0,Northeast
51,Virginia,8705170,5240029,1616256,604505,60.19444766730575,18.56662190399498,6.944206718536226,South,VA,51,4505941,-260310,Harris,Democratic,-0.05777039690488624,-5.777039690488624,5.777039690488624,0.5183,0.4605,0.0211,2335395,2075085,95461,13,0,0,South
53,Washington,7816116,5141304,311435,767011,65.77824587045535,3.9845237711415744,9.81319878057081,West,WA,53,3924243,-714926,Harris,Democratic,-0.18218188832852603,-18.218188832852604,18.218188832852604,0.5723,0.3901,0.0376,2245849,1530923,147471,12,0,0,West
54,West Virginia,1778373,1605228,56175,13491,90.2638535335388,3.158786148912517,0.7586147562969073,South,WV,54,762582,319247,Trump,Republican,0.4186395692528804,41.863956925288036,-41.863956925288036,0.281,0.6997,0.0193,214309,533556,14717,0,4,0,South
55,Wisconsin,5914872,4737919,359804,175327,80.10180101953178,6.083039497727085,2.9641723438816596,North Central,WI,55,3422918,29397,Trump,Republican,0.008588286368531177,0.8588286368531176,-0.8588286368531176,0.4874,0.496,0.0167,1668229,1697626,57063,0,10,0,Midwest
56,Wyoming,582397,492158,5129,4776,84.50558639553432,0.8806707452133167,0.8200591692608306,West,WY,56,269048,123106,Trump,Republican,0.457561476019149,45.7561476019149,-45.7561476019149,0.2584,0.716,0.025599999999999998,69527,192633,6888,0,3,0,West
