county_name,region_name,media_market,prop_aug_issue1_yes,total_aug_turnout,total_reg_voters,prop_nov_issue1_yes,prop_nov_issue2_yes,total_nov_votes,total_2020_reg_voters,total_2020_votes,prop_trump_votes,male_population,median_age,population,white_population,black_population,noncitizen,bach_degree,mast_degree,prof_degree,doct_degree,median_income,id
Adams County,Southwest,Cincinnati,0.7251031760272744,5573,17003,0.32,0.44,7640,17246,12280,0.8037459283387622,13800,42.1,27564,27244,301,104,1591,1123,166,118,44467,39001
Allen County,West,Lima,0.639265030623724,24001,65598,0.35,0.46,30636,67374,48353,0.6848799454015263,52050,39.5,102462,88067,15194,767,8175,3587,834,543,55114,39003
Ashland County,Northeast,Cleveland,0.6318623679977621,14299,34187,0.42,0.45,17948,34837,26771,0.7249262261402264,25951,40.8,52658,51595,814,436,4952,2231,471,153,58168,39005
Ashtabula County,Northeast,Cleveland,0.47922701137002294,23131,60055,0.54,0.55,30015,61453,44649,0.6022531299693162,49483,42.6,97869,92579,5135,543,7199,2485,495,193,49680,39007
Athens County,Southeast,Charleston,0.28848596020883305,14174,37530,0.72,0.69,17558,39344,26350,0.4122201138519924,31292,30.5,62933,59144,2383,2007,5466,4742,443,1568,47061,39009
Auglaize County,West,Dayton,0.7518549629007419,14286,32073,0.27,0.38,17417,32489,25940,0.8017733230531997,22905,40.3,46282,45420,614,236,3735,2174,254,125,69315,39011
Belmont County,Southeast,Wheeling,0.5459876543209876,12960,43793,0.4,0.48,18726,46315,33364,0.7061503416856492,34547,44.2,67077,64067,3415,162,5013,2226,395,258,54191,39013
Brown County,Southwest,Cincinnati,0.6995240613432047,9455,28659,0.36,0.5,13271,29069,21268,0.7748730487116795,21822,42,43694,43103,657,106,2788,1437,160,65,59766,39015
Butler County,Southwest,Cincinnati,0.49621598828177016,90116,252467,0.51,0.57,115034,256908,187828,0.609025278446238,191072,37,387830,335171,40990,13749,51006,20634,2945,4580,72281,39017
Carroll County,Northeast,Cleveland,0.6690666666666667,7500,18026,0.39,0.45,9139,18416,14303,0.7512409983919457,13713,46.1,26866,26583,418,38,1660,941,79,52,55954,39019
Champaign County,West,Dayton,0.6245275888133031,10584,26189,0.42,0.52,12779,26492,20096,0.7259653662420382,19302,41.7,38678,37459,1197,117,3103,1260,137,27,62865,39021
Clark County,West,Dayton,0.499225670569287,32286,86429,0.5,0.56,40790,89826,64710,0.6031834337814866,66231,41.2,136032,122230,14834,1291,10613,5541,927,463,54869,39023
Clermont County,Southwest,Cincinnati,0.54231108192642,57869,144682,0.48,0.57,74216,145129,111333,0.6697924245282172,102904,40.1,207650,200463,5441,2336,26879,12346,2055,1161,73013,39025
Clinton County,Southwest,Cincinnati,0.6618294635708567,9992,27160,0.4,0.51,13159,27616,20657,0.7497700537348114,20927,40.4,42046,40652,1535,664,3619,1752,119,193,57409,39027
Columbiana County,Northeast,Youngstown,0.6066230580539657,24460,64571,0.44,0.48,31857,66293,50411,0.7086945309555455,51714,44.2,102331,98762,3260,219,7648,3250,278,370,51664,39029
Coshocton County,Central,Columbus,0.594372949785516,7926,21929,0.47,0.49,10861,22730,16900,0.7292899408284024,18118,40.8,36621,35897,777,84,2822,1339,89,72,49297,39031
Crawford County,Central,Columbus,0.6567194273616292,9919,27539,0.4,0.47,12812,28211,20860,0.7399808245445829,20774,43.1,41939,41004,824,433,2996,1442,61,131,48449,39033
Cuyahoga County,Northeast,Cleveland,0.2344881260511218,335356,870810,0.74,0.67,387821,888556,631199,0.3211332717574014,606297,40.3,1263667,821151,401464,36338,177904,86379,27715,14409,55109,39035
Darke County,West,Dayton,0.7505911718339464,15224,34162,0.27,0.38,17986,34669,27371,0.8039165540170253,25840,41.6,51839,51072,1071,113,3870,1565,314,145,57440,39037
Defiance County,Northwest,Toledo,0.6071001196649382,10028,26024,0.39,0.47,12649,26411,19613,0.6647631672870035,19207,40.6,38329,36170,1228,384,3140,1454,342,71,65779,39039
Delaware County,Central,Columbus,0.4212644951621242,81234,157923,0.59,0.55,94990,151756,127111,0.5220319248530811,105445,39.4,211121,186460,10560,8586,47866,23044,5102,3567,116284,39041
Erie County,Northeast,Cleveland,0.4300311179229947,21531,53190,0.57,0.59,27835,54129,40783,0.5433636564254714,36917,44.8,75560,66964,8651,523,9001,3566,695,488,60149,39043
Fairfield County,Central,Columbus,0.5032603903186132,43093,108312,0.51,0.52,54457,109176,84061,0.6042873627484803,79010,39.5,157622,139767,15974,2679,20921,8900,1497,844,77241,39045
Fayette County,Central,Columbus,0.6724673710379118,6436,16801,0.4,0.48,7994,17180,12704,0.7456706549118388,14124,41,28897,27469,1180,379,1784,912,133,89,52964,39047
