warnum,start_year,duration,side1,side2,side1_initiator,side2_initiator,side1_winner,side2_winner,side1_deaths,side2_deaths,side1_polyarchy,side2_polyarchy,side1_polity2,side2_polity2,side1_qudsest,side2_qudsest,min_polyarchy,min_polity2,min_qudsest
  1,1823, 1,France,Spain,1,0,1,0,      400,      600,-0.83898517,-0.87784587,-0.66902458,-0.94308921,-0.560308909,-0.86875418,-0.8778459,-0.94308921,-0.86875418
  4,1828, 2,Russia,Turkey,1,0,1,0,   100000,   160000,-1.42896133,-1.40069900,-1.49121845,-1.49121845,-2.212763945,-2.21276394,-1.4289613,-1.49121845,-2.21276394
  7,1846, 2,United States,Mexico,1,0,1,0,    26566,    12000,-0.24724261,-0.74359980, 1.24942779,NA, 0.398015535,-0.47114089,-0.7789277, 1.24942779,-0.47114089
 10,1848, 2,Austria-Hungary,"Italy, Modena, Tuscany",0,1,1,0,    15708,     7000,NA,-0.99796078,-0.94308921,-1.18289575,-0.608254609,-1.31877773,-1.4289613,-1.49121845,-2.21263646
 13,1848, 2,Germany,Denmark,1,0,1,0,     5000,     7000,-0.87961227,-0.24194342,-1.21715383,-0.60050843,-1.182417517,-0.84017890,-0.9025754,-1.35418614,-1.41390023
 16,1849, 1,"France, Austria-Hungary, Two Sicilies",Vatican City,1,0,1,0,     1200,     4200,-0.93260414,-0.95556728,-0.57766971,-1.35418614,-1.035613787,-1.41204843,-1.3936334,-1.49121845,-1.77913223
 19,1851, 2,Brazil,Argentina,1,0,1,0,     1000,     1600,-0.72946863,-1.17460035,-0.94308921,-0.73754074,-0.807613665,-0.66651579,-1.1746004,-0.94308921,-0.80761366
 22,1853, 4,"United Kingdom, France, Italy, Turkey",Russia,1,0,1,0,   535400,  1200000,-0.88049547,-1.39010063,-0.90883113,-1.49121845,-1.215193129,-2.21276394,-1.4324941,-1.49121845,-2.21276394
 25,1856, 2,United Kingdom,Iran,1,0,1,0,     1000,     3000,-0.34616076,NA, 0.29020160,-1.49121845,-0.107337744,-2.21276579,-0.3479272,-1.49121845,-2.21276579
 28,1859, 1,"France, Italy",Austria-Hungary,0,1,1,0,    10000,    25000,-0.77539492,NA,-1.14863767,-0.94308921,-1.075470592,-1.63882871,-0.8354524,-1.21715383,-1.63882871
 31,1859, 2,Spain,Morocco,1,0,1,0,     8000,    12000,-0.78246050,-1.44662529,-0.94308921,-0.94308921,-0.804911361,-0.76904682,-1.4466253,-0.94308921,-0.80491136
 34,1860, 1,Italy,Vatican City,1,0,1,0,      300,      700,-0.72946863,-1.32651038,-1.08012152,-1.35418614,-1.043575017,-1.41369835,-1.3265104,-1.35418614,-1.41369835
 37,1860, 2,Italy,Two Sicilies,1,0,1,0,     1200,      800,-0.72416945,-1.43955971,-1.08012152,-1.49121845,-0.893528768,-1.77913223,-1.4395597,-1.49121845,-1.77913223
 40,1862, 6,Mexico,France,0,1,0,0,    72000,    48000,-0.87372428,-0.75066538,-0.58680519,-0.94308921,-0.543632973,-0.71541562,-0.9343705,-0.94308921,-0.72121248
 43,1863, 1,Colombia,Ecuador,1,0,1,0,      300,      700,-0.72946863,-1.09334615,-0.80605689,-0.25792765,-0.713380891,-0.31474126,-1.0933461,-0.80605689,-0.71338089
 46,1864, 1,"Germany, Austria-Hungary",Denmark,1,0,1,0,     3096,    11732,-0.80365725,-0.19601713,-0.87457305, 0.15316929,-1.307603688,-0.26645757,-0.8036573,-1.08012152,-1.63882871
 49,1864, 7,"Brazil, Argentina",Paraguay,0,1,1,0,   760000,  2600000,-0.48434726,-1.29390000,-0.75335216,-1.16444909,-0.634127409,-1.16025430,-1.3901006,-1.35418614,-1.35855759
 52,1865, 2,"Peru, Chile",Spain,0,1,1,0,      800,      900,-0.69885111,-0.80012446,-0.16657277,-0.94308921,-0.259893183,-0.84747324,-0.8743131,-0.94308921,-0.86875418
 55,1866, 1,"Germany, Mecklenburg Schwerin, Italy","Hanover, Bavaria, Baden, Saxony, Wuerttemburg, Hesse Electoral, Hesse Grand Ducal, Austria-Hungary",1,0,1,0,   112800,    90000,-0.96263287,-0.84192916,-0.87457305,-0.91568274,-1.052089248,-0.87388010,-1.3159120,-1.08012152,-1.63882871
 58,1870, 2,"Bavaria, Germany, Baden, Wuerttemburg",France,0,1,1,0,    97094,   760000,-0.69131449,-0.21862699,-0.86086982,-0.36755349,-0.755255810,-0.24306982,-0.7577310,-1.08012152,-0.97532444
 60,1876, 1,Guatemala,El Salvador,1,0,1,0,     2000,     2000,-1.12867406,-1.22052664,-0.80605689,-0.25792765,-0.658201421,-0.28963184,-1.2205266,-0.80605689,-0.65820142
 61,1877, 2,Russia,Turkey,1,0,1,0,   240000,   330000,-1.37950225,-1.39363342,-1.49121845,-1.49121845,-2.212763945,-1.99601050,-1.4254285,-1.49121845,-2.21276394
 64,1879, 5,Chile,"Peru, Bolivia",1,0,1,0,    32760,    52960,-0.54576348,-0.98877552, 0.29020160,-0.25792765,-0.045923780,-0.43305611,-1.3335760,-1.08012152,-1.04545454
 65,1882, 1,United Kingdom,Egypt,1,0,1,0,       79,    10000,-0.16068922,-1.22405943, 0.83833085,NA, 0.226373344,NA,-1.2240594, 0.83833085, 0.22637334
 67,1884, 2,France,China,1,0,1,0,     4200,    20000, 0.52997151,-1.33004317, 0.83833085,-0.94308921, 0.357802944,-0.86896433,-1.3300432,-0.94308921,-0.86896433
 70,1885, 1,El Salvador,Guatemala,0,1,1,0,      200,      800,-1.21346106,-1.14633802,-0.25792765, 0.15316929,-0.317827882,-0.14334443,-1.2134611,-0.25792765,-0.31782788
 73,1894, 2,Japan,China,1,0,1,0,    10000,    20000,-0.92730495,-1.32474399, 0.01613698,-0.94308921,-0.379564854,-0.86896433,-1.3335760,-0.94308921,-0.86896433
 76,1897, 1,Turkey,Greece,0,1,1,0,     1400,      600,-1.45722366,-0.50336998,-1.49121845, 1.24942779,-2.212763945, 0.29079804,-1.4572237,-1.49121845,-2.21276394
 79,1898, 1,United States,Spain,1,0,1,0,     2910,      775,-0.04057431,-0.77539492, 1.24942779, 0.42723392, 0.543235729,-0.07958367,-0.7753949, 0.42723392,-0.07958367
 82,1900, 1,"United States, United Kingdom, France, Russia, Japan",China,1,0,1,0,     1003,    10000,-0.27585822,-1.30884643, 0.31760807,-0.94308921,-0.304957467,-0.91550267,-1.3088464,-1.49121845,-2.27921177
 83,1900, 1,Russia,China,1,0,1,0,      242,     3758,-1.29471526,-1.30884643,-1.49121845,-0.94308921,-2.279211774,-0.91550267,-1.3088464,-1.49121845,-2.27921177
 85,1904, 2,Japan,Russia,1,0,1,0,   160756,   142906,-0.88491146,-1.29294886, 0.01613698,-1.35418614,-0.421512421,-1.80528849,-1.3053136,-1.49121845,-2.27921177
 88,1906, 1,Guatemala,"Honduras, El Salvador",1,0,1,0,      800,      600,-1.15693639,-0.90964100,-1.35418614,-0.53199227,-1.343723351,-0.60724901,-1.1569364,-1.35418614,-1.34372335
 91,1907, 1,Nicaragua,"Honduras, El Salvador",1,0,1,0,      800,      600,-1.16046919,-1.04035428,-0.80605689,-0.94308921,-0.722600936,-0.96088434,-1.1604692,-0.94308921,-1.14539841
 94,1909, 2,Spain,Morocco,1,0,1,0,     4000,    16000,-0.79129248,-1.36713748, 0.70129854,-0.94308921, 0.148451610,-0.68488767,-1.3724367,-0.94308921,-0.68488767
 97,1911, 2,Italy,Turkey,1,0,1,0,    12000,    28000,-0.39032066,-0.98206322,-0.25792765,-0.25792765,-0.328661800,-0.47231020,-1.0120919,-0.25792765,-0.49939236
100,1912, 2,"Yugoslavia, Greece, Bulgaria",Turkey,1,0,1,0,    57000,   120000,-0.41681659,-1.04477027, 0.39297584,-0.25792765,-0.191790580,-0.50109020,-1.1428052,-1.35418614,-1.26402553
103,1913, 1,"Yugoslavia, Greece, Romania, Turkey",Bulgaria,0,1,1,0,    42500,    72000,-0.65792961,-0.70827188, 0.18742737,NA,-0.208149180,-1.12322825,-1.1428052,-0.66902458,-1.12322825
