county_name,region_name,media_market,registered_voters,ballots_counted,official_voter_turnout,yes,no
Adams,Southwest,Cincinnati,17003,5573,32.7765688407928,4041,1519
Allen,West,Lima,65598,24001,36.58800573188207,15343,8652
Ashland,Northeast,Cleveland,34187,14299,41.82584023166701,9035,5253
Ashtabula,Northeast,Cleveland,60055,23131,38.51636000333028,11085,12044
Athens,Southeast,Charleston,37530,14174,37.76711963762323,4089,10077
Auglaize,West,Dayton,32073,14286,44.54213824712375,10741,3542
Belmont,Southeast,Wheeling,43793,12960,29.59377069394652,7076,5869
Brown,Southwest,Cincinnati,28659,9455,32.991381415960085,6614,2841
Butler,Southwest,Cincinnati,252467,90116,35.69416993111971,44717,44438
Carroll,Northeast,Cleveland,18026,7500,41.606568290247424,5018,2479
Champaign,West,Dayton,26189,10584,40.41391423880255,6610,3972
Clark,West,Dayton,86429,32286,37.35551724536903,16118,16162
Clermont,Southwest,Cincinnati,144682,57869,39.99737355026887,31383,26475
Clinton,Southwest,Cincinnati,27160,9992,36.78939617083947,6613,3375
Columbiana,Northeast,Youngstown,64571,24460,37.880782394573416,14838,9608
Coshocton,Central,Columbus,21929,7926,36.143919011354825,4711,3212
Crawford,Central,Columbus,27539,9919,36.01801082101747,6514,3396
Cuyahoga,Northeast,Cleveland,870810,335356,38.51081177294703,78637,256592
Darke,West,Dayton,34162,15224,44.564135589251215,11427,3795
Defiance,Northwest,Toledo,26024,10028,38.533661235782354,6088,3938
Delaware,Central,Columbus,157923,81234,51.438992420356755,34221,46864
Erie,Northeast,Cleveland,53190,21531,40.47941342357586,9259,12267
Fairfield,Central,Columbus,108312,43093,39.7859886254524,21687,21350
Fayette,Central,Columbus,16801,6436,38.3072436164514,4328,2108
Franklin,Central,Columbus,875190,334864,38.26186313828997,82977,251576
Fulton,Northwest,Toledo,28979,12236,42.223679215983985,7706,4522
Gallia,Southeast,Charleston,18493,5087,27.507705618342076,3536,1551
Geauga,Northeast,Cleveland,67467,35788,53.04519246446411,17103,18678
Greene,West,Dayton,118667,51402,43.31617046019534,25405,25952
Guernsey,Southeast,Wheeling,23818,7923,33.26475774624234,4859,3062
Hamilton,Southwest,Cincinnati,595209,234828,39.45303246422685,77987,156787
Hancock,Northwest,Toledo,50903,21480,42.197905820875,12913,8538
Hardin,Central,Columbus,17510,6235,35.608223872073104,3931,2237
Harrison,Southeast,Wheeling,9799,3321,33.89121338912134,2079,1242
Henry,Northwest,Toledo,19882,7856,39.513127451966604,5108,2736
Highland,Southwest,Cincinnati,26895,9176,34.11786577430749,6582,2585
Hocking,Central,Columbus,18026,6665,36.97437035393321,3691,2974
Holmes,Northeast,Cleveland,17597,6000,34.09672103199409,4380,1619
Huron,Northeast,Cleveland,36094,13811,38.26397739236438,8090,5716
Jackson,Southeast,Charleston,20286,5782,28.502415458937197,3475,2304
Jefferson,Southeast,Wheeling,45808,13974,30.505588543485853,7893,6072
Knox,Central,Columbus,41826,17580,42.03127241428776,10998,6582
Lake,Northeast,Cleveland,160821,72577,45.12905652868717,29929,42574
Lawrence,Southeast,Charleston,41664,7777,18.665994623655912,4548,3144
Licking,Central,Columbus,124904,49642,39.74412348683789,25852,23685
Logan,West,Dayton,31922,9642,30.20487438130443,6226,3408
Lorain,Northeast,Cleveland,217281,85805,39.49033739719534,31832,53834
