ft_employment,min_wage_change,state,period,unit,wave1_st_wage,current_st_wage,co_owned,franchise_name,still_open,region
40.5,0,PA,wave 1,1,4.314705882352941,4.314705882352941,0,Burger King,1,Northeast Philly
13.75,0,PA,wave 1,2,4.5,4.5,0,KFC,1,Northeast Philly
8.5,0,PA,wave 1,3,4.5,4.5,1,KFC,1,Northeast Philly
34,0,PA,wave 1,4,5,5,1,Wendy's,1,Northeast Philly
24,0,PA,wave 1,5,5.5,5.5,1,Wendy's,1,Northeast Philly
20.5,0,PA,wave 1,6,5,5,1,Wendy's,1,Northeast Philly
70.5,0,PA,wave 1,7,5,5,0,Burger King,1,Easton Philly
23.5,0,PA,wave 1,8,5,5,0,Burger King,1,Easton Philly
11,0,PA,wave 1,9,5.25,5.25,1,KFC,1,Easton Philly
9,0,PA,wave 1,10,5,5,1,KFC,1,Northeast Philly
15.5,0,PA,wave 1,11,5,5,1,Roy's,1,Easton Philly
58,0,PA,wave 1,12,5,5,0,Burger King,1,Easton Philly
26.5,0,PA,wave 1,13,5,5,0,Burger King,1,Easton Philly
28.5,0,PA,wave 1,14,5.5,5.5,0,Burger King,1,Easton Philly
13.5,0,PA,wave 1,15,5,5,0,Burger King,1,Easton Philly
16.75,0,PA,wave 1,16,5.25,5.25,1,KFC,1,Easton Philly
9.5,0,PA,wave 1,17,5,5,1,KFC,1,Easton Philly
15,0,PA,wave 1,18,5,5,1,Roy's,1,Easton Philly
29.5,0,PA,wave 1,19,5,5,0,Roy's,1,Easton Philly
18.5,0,PA,wave 1,20,5,5,0,Roy's,1,Easton Philly
20.25,0,PA,wave 1,21,5,5,1,Roy's,1,Easton Philly
36,0,PA,wave 1,22,5,5,1,Roy's,1,Northeast Philly
21,0,PA,wave 1,23,5,5,0,Roy's,1,Easton Philly
20.5,0,PA,wave 1,24,5,5,1,Roy's,1,Easton Philly
19,0,PA,wave 1,25,5,5,1,Wendy's,1,Easton Philly
14,0,PA,wave 1,26,5,5,1,Roy's,1,Easton Philly
19,0,PA,wave 1,27,5,5,1,Roy's,1,Easton Philly
32.5,0,PA,wave 1,28,4.25,4.25,0,Burger King,1,Northeast Philly
19,0,PA,wave 1,29,4.25,4.25,0,Burger King,1,Northeast Philly
27,0,PA,wave 1,30,4.25,4.25,0,Burger King,1,Northeast Philly
19.5,0,PA,wave 1,31,4.25,4.25,0,Burger King,1,Northeast Philly
24,0,PA,wave 1,32,4.5,4.5,0,Burger King,1,Northeast Philly
18,0,PA,wave 1,33,4.25,4.25,0,Burger King,1,Northeast Philly
NA,0,PA,wave 1,34,4.5,4.5,0,Burger King,1,Northeast Philly
19,0,PA,wave 1,35,4.25,4.25,0,Burger King,1,Northeast Philly
14,0,PA,wave 1,36,4.5,4.5,0,KFC,1,Northeast Philly
10.5,0,PA,wave 1,37,4.25,4.25,0,KFC,1,Northeast Philly
38,0,PA,wave 1,38,4.67,4.67,1,Wendy's,1,Northeast Philly
23.5,0,PA,wave 1,39,4.75,4.75,1,Wendy's,1,Northeast Philly
10.5,0,PA,wave 1,40,4.25,4.25,0,Wendy's,1,Northeast Philly
25,0,PA,wave 1,41,4.25,4.25,0,Wendy's,1,Northeast Philly
11,0,PA,wave 1,42,4.75,4.75,1,KFC,1,Easton Philly
36.5,0,PA,wave 1,43,4.25,4.25,0,Burger King,1,Northeast Philly
52.5,0,PA,wave 1,44,4.5,4.5,0,Burger King,1,Northeast Philly
29,0,PA,wave 1,45,4.25,4.25,0,Burger King,1,Northeast Philly
45,0,PA,wave 1,46,4.25,4.25,0,Burger King,1,Northeast Philly
22.75,0,PA,wave 1,47,4.25,4.25,0,Burger King,1,Northeast Philly
7.5,0,PA,wave 1,48,4.25,4.25,0,KFC,1,Northeast Philly
15.5,0,PA,wave 1,49,4.25,4.25,0,Wendy's,1,Northeast Philly
38,0,PA,wave 1,50,4.25,4.25,0,Wendy's,1,Northeast Philly
17.5,0,PA,wave 1,51,4.25,4.25,0,Wendy's,1,Northeast Philly
25,0,PA,wave 1,52,4.25,4.25,0,Wendy's,1,Northeast Philly
NA,0,PA,wave 1,53,4.5,4.5,0,Burger King,1,Easton Philly
21,0,PA,wave 1,54,4.75,4.75,0,Burger King,1,Easton Philly
15.5,0,PA,wave 1,55,4.87,4.87,0,Burger King,1,Easton Philly
15.5,0,PA,wave 1,56,4.75,4.75,0,Burger King,1,Easton Philly
8.5,0,PA,wave 1,57,4.5,4.5,1,KFC,1,Easton Philly
18,0,PA,wave 1,58,4.25,4.25,1,Roy's,1,Easton Philly
20.75,0,PA,wave 1,59,4.75,4.75,0,Wendy's,1,Easton Philly
39,0,PA,wave 1,60,4.25,4.25,0,Burger King,1,Easton Philly
41.5,0,PA,wave 1,61,4.25,4.25,0,Burger King,1,Easton Philly
22.5,0,PA,wave 1,62,4.75,4.75,0,Burger King,1,Easton Philly
32,0,PA,wave 1,63,4.5,4.5,0,Burger King,1,Easton Philly
24,0,PA,wave 1,64,4.25,4.25,0,Burger King,1,Northeast Philly
26,0,PA,wave 1,65,4.25,4.25,0,Burger King,1,Easton Philly
