ccode,country_name,region_name,income_group_name,obligated_2024,obligated_2025,disbursed_2024,disbursed_2025,gdp_2024,gdp_2025,pop_2024,pop_2025,inf_2024,inf_2025,unemp_2024,unemp_2025,any_alliance,defense,nonagg,consul,distance,export,import,us_troops
20,Canada,Western Hemisphere,High Income Country,259253,206393,259253,352,2725299.75,2883487.75,41.10771179199219,41.72467803955078,2.362250566482544,1.986082673072815,6.312495231628418,6.511146068572998,1,1,1,1,734.8694168382448,348413969749,421206326689,153
31,Bahamas,Western Hemisphere,High Income Country,2579631,1541,2757741,576863,17976.048828125,18281.263671875,0.40128299593925476,0.4032844007015228,0.4091624915599823,1.569760799407959,9.973999977111816,9.77400016784668,1,1,1,1,1538.3414316740807,5639722090,1839129647,63
40,Cuba,Western Hemisphere,Upper Middle Income Country,7604107,732802,7042254,4882672,NA,NA,10.979783058166504,10.879966735839844,NA,NA,NA,NA,0,0,0,0,1825.4282425222812,586499825,4885434,616
41,Haiti,Western Hemisphere,Low Income Country,591097742,138291917,434975090,226327134,60176.37890625,60778.1328125,11.772557258605957,11.872323989868164,26.94905662536621,20.721994400024414,NA,NA,1,1,1,1,2310.121691427463,1214423999,641768953,54
42,Dominican Republic,Western Hemisphere,Upper Middle Income Country,107845995,31065606,91595512,43996576,243306.921875,255576.3125,11.427556991577148,11.527799606323242,3.3022334575653076,4.532510757446289,5.3099164962768555,6,1,1,1,1,2373.7545103520947,13081646176,7726310696,19
51,Jamaica,Western Hemisphere,Upper Middle Income Country,48650981,9900069,53240883,20269572,32294.298828125,32972.453125,2.83917498588562,2.83917498588562,5.411944389343262,5.000333309173584,NA,NA,1,1,1,1,2329.348836542984,2643278484,376340388,13
52,Trinidad and Tobago,Western Hemisphere,High Income Country,4746014,74101,4430754,1163781,22649.30078125,23190.25390625,1.3683329820632935,1.3683329820632935,0.5268846154212952,1.8954994678497314,4.0057501792907715,NA,1,1,1,1,3500.854326585478,2939678041,3489969614,10
53,Barbados,Western Hemisphere,High Income Country,3154602,2274787,3355712,363653,7444.24072265625,7667.5810546875,0.2824670076370239,0.28346866369247437,-0.4401129484176636,2.391582489013672,7.943999767303467,7.855000019073486,1,1,1,1,3345.264932547462,771466523,50591641,13
54,Dominica,Western Hemisphere,Upper Middle Income Country,210000,0,574251,0,665.146240234375,693.09796142578125,0.06620500236749649,0.06590496748685837,2.569218873977661,2.0820980072021484,NA,NA,1,1,1,1,3029.688465924467,58798990,2382911,0
55,Grenada,Western Hemisphere,Upper Middle Income Country,1406342,0,728170,459076,1644.4251708984375,1708.8875732421875,0.11720699816942215,0.11720699071884155,1.0861536264419556,2.143407106399536,NA,NA,1,1,1,1,3348.3717130190694,165335817,15897546,0
