mic_id,year,stdate,durration,events,involved,fatalmin,fatalmax,fatalmin_pc,fatalmax_pc,full_on_war,mean_democracy,min_democracy,mean_mil_power,min_mil_power,maxdiff_mil_power,mean_pop,total_pop,rivals_rate,major_powers_involved,total_trade,total_trade_pc,mean_dist,min_dist,total_alliances,mean_alliances,min_alliances,total_igos,mean_igos,min_igos
3239,1816,1816-07-10,18,2,2,0,0,0,0,0,-0.06559957475484185,-0.8383166192672765,0.043045303,4.189751196604353e-6,0.04638892524880339,9866000,19732000,1,0,0,0,7082.932035864453,7082.932035864453,0,0,0,0,0,0
1567,1818,1818-03-15,181,7,2,2,40,9.813542688910696e-8,1.9627085377821394e-6,0,-0.06559957475484185,-0.8383166192672765,0.040078180000000005,3.916894671292589e-6,0.044025896105328706,10190000,20380000,1,0,0,0,7082.932035864453,7082.932035864453,0,0,0,0,0,0
142,1821,1821-07-01,1,1,2,0,0,0,0,0,-1.5809166583852599,-1.5809166583852599,0.1188383215,2.3826726804123713e-6,0.17388534732731958,38036000,76072000,1,1,0,0,2235.397176897895,2235.397176897895,0,0,0,0,0,0
147,1821,1821-03-01,23,3,2,27,125,7.121379965184365e-7,3.2969351690668353e-6,0,-1.3141008105130254,-1.5807981490831127,0.064640945,4.40672626899914e-6,0.098544974273731,18957000,37914000,0,1,0,0,837.8045470234663,837.8045470234663,0,0,0,0,0,0
167,1821,1821-03-09,31,2,2,27,125,7.741269568209186e-7,3.583921096393142e-6,0,-1.3141008105130254,-1.5807981490831127,0.0547096315,2.7602544438801423e-6,0.09854662074555612,17439000,34878000,0,1,0,0,749.4380647798484,749.4380647798484,0,0,0,0,0,0
366,1821,1821-08-27,1,2,2,0,0,0,0,0,-0.035896978153413237,-0.0448434150762465,0.077357508,2.980713689337276e-6,0.12043978928631066,20974000,41948000,0,1,0,0,1054.0565824873706,1054.0565824873706,0,0,0,0,0,0
89,1822,1822-09-21,408,12,2,170,195,4.020433260807871e-6,4.6116734462207925e-6,1,-0.035896978153413237,-0.0448434150762465,0.08213098199999999,2.792049723756906e-6,0.13191606795027624,21142000,42284000,0,1,0,0,1054.0565824873706,1054.0565824873706,0,0,0,0,0,0
64,1826,1826-03-17,16,2,2,0,0,0,0,0,-1.5809166583852599,-1.5809166583852599,0.1076168435,2.2916214401237605e-6,0.15005309837855987,40721000,81442000,1,1,0,0,2235.397176897895,2235.397176897895,0,0,0,0,0,0
146,1827,1827-08-01,185,9,4,2160,3200,1.1086417598661417e-5,1.6424322368387285e-5,0,-1.0783772452310014,-1.5809166583852599,0.13616336033333334,2.200622294785841e-6,0.3328282593777052,32472166.666666668,194833000,0.3333333333333333,3,0,0,2557.6261951150605,2235.397176897895,0,0,0,0,0,0
189,1827,1827-11-01,680,12,2,42785,53925,5.180597430588349e-4,6.529478005012896e-4,1,-1.5809166583852599,-1.5809166583852599,0.111373847,2.200622294785841e-6,0.15939617937770523,41293500,82587000,1,1,0,0,2235.397176897895,2235.397176897895,0,0,0,0,0,0
367,1828,1828-07-20,103,12,2,111,225,1.8155944845183767e-6,3.6802590902399528e-6,0,-0.8128800367307532,-1.5809166583852599,0.1002860495,1.9512289871984076e-6,0.1437171887710128,30568500,61137000,0,1,0,0,2600.459768580077,2600.459768580077,0,0,0,0,0,0
1579,1829,1829-09-25,1,3,2,252,525,8.330578512396694e-6,1.7355371900826445e-5,0,-0.8470412400784078,-1.5809166583852599,0.0286278363,1.9049637177443967e-6,0.05617738003628226,15125000,30250000,1,0,0,0,910.0410152862112,910.0410152862112,0,0,0,0,0,0
370,1830,1830-09-01,1,2,2,0,0,0,0,0,-0.7490677157732516,-1.5809166583852599,0.09277531450000001,3.497562288266092e-6,0.14012079243771175,22679000,45358000,1,2,0,0,877.3518429539391,877.3518429539391,0,0,0,1,1,1
25,1831,1831-08-02,183,8,4,162,290,4.815838758583787e-6,8.620945925859865e-6,0,-0.1671552476932067,-0.27221860732786196,0.0950409455,8.491821943110454e-6,0.29890125817805685,8409750,33639000,0,1,0,0,265.94305538063765,174.1638500495963,0,0,0,0,0,0
137,1831,1831-05-04,1,1,2,0,0,0,0,0,-0.050880385289879156,-0.10175342276872261,0.15463358,3.343256939961265e-6,0.29890640674306,13616500,27233000,0,1,0,0,1588.1548789296723,1588.1548789296723,0,0,0,0,0,0
501,1831,1831-01-31,1,1,2,0,0,0,0,0,-0.009486097964982933,-0.10175342276872261,0.22442985,4.6039284617746395e-6,0.2989051460715382,28352500,56705000,1,2,0,0,343.8915912895176,343.8915912895176,0,0,0,0,0,0
3138,1831,1831-04-01,102,6,2,0,0,0,0,0,0.04138693951386052,-7.347811035702906e-6,0.08015368,3.343256939961265e-6,0.14994660674306004,17834000,35668000,0,1,0,0,1455.715834335528,1455.715834335528,0,0,0,0,0,0
