year,label,deminc,popmargin,demvote,incvotemargin,incvote,inc1,eygdp,q2gdp,fhgdp,incevoteshare,demevoteshare,landslide,wonlost,inc,octapp,juneapp,term1,term2,dmargin,juneapp2,incelectvotes,changeapp,filter_$
1948,48,1,4.599999999999994,52.3,4.599999999999994,52.3,0,3.9,7.6,7.1,57.1,57.1,0,1,1,NA,-4,0,1,4.599999999999994,-1,307.19800000000004,NA,1
1956,56,0,-15.599999999999994,42.2,15.599999999999994,57.8,1,2,3.2,0.65,86.1,13.9,1,1,1,48,55,1,0,-15.599999999999994,1,463.218,-7,1
1964,64,1,22.599999999999994,61.3,22.599999999999994,61.3,1,5.2,4.7,7,90.3,90.3,1,1,1,51,59,1,0,22.599999999999994,1,485.814,-8,1
1972,72,0,-23.599999999999994,38.2,23.599999999999994,61.8,1,6.9,9.8,8.55,96.7,3.3,1,1,1,34,23,1,0,-23.599999999999994,1,520.2460000000001,11,1
1976,76,0,2.200000000000003,51.1,-2.200000000000003,48.9,0,4.3,3,6.15,44.8,55.2,0,0,1,5,5,0,1,2.200000000000003,1,241.02399999999997,0,1
1980,80,1,-10.599999999999994,44.7,-10.599999999999994,44.7,1,0,-7.9,-3.25,9.1,9.1,0,0,1,-25,-27,1,0,-10.599999999999994,-1,48.958,2,1
1984,84,0,-18.400000000000006,40.8,18.400000000000006,59.2,1,5.6,7.1,7.6,97.6,2.4,1,1,1,25,18,1,0,-18.400000000000006,1,525.088,7,1
1992,92,0,7,53.5,-7,46.5,0,4.4,4.3,4.4,31.2,68.8,0,0,1,-22,-17,0,1,7,-1,167.856,-5,1
1996,96,1,9.400000000000006,54.7,9.400000000000006,54.7,1,4.4,7.1,5,70.4,70.4,0,1,1,18,10,1,0,9.400000000000006,1,378.752,8,1
2004,04,0,-2.4000000000000057,48.8,2.480000000000004,51.24,1,3.3,2.9,2.9,53.2,46.8,0,1,1,5,-1,1,0,-2.4000000000000057,-1,286.216,6,1
2012,12,1,4,52,4,52,1,1.5,1.3,2.3,61.7,61.7,0,1,1,8,1,1,0,4,1,331.94599999999997,7,0
