country,year,leader,aid,physint,imports,exports,defensive_alliance,democracy,gdp,pop,mindist,fpsim
Canada,1946,Truman,0,0.953,NA,NA,0,Democracy,157548628509.6353,12079254.077341767,0,0.689
Canada,1947,Truman,0,0.953,NA,NA,0,Democracy,161536991028.81497,12323271.196227763,0,0.839
Canada,1948,Truman,0,0.953,1794,2038,0,Democracy,166623064587.6697,12622607.371036442,0,0.691
Canada,1949,Truman,0,0.953,1743,2101,1,Democracy,171525880693.3654,12916291.764623655,0,0.862
Canada,1950,Truman,0,0.953,2101,2162,1,Democracy,178704599955.92554,13322967.719178207,0,0.69
Canada,1951,Truman,25972340,0.953,2466,2941,1,Democracy,186183763734.74368,13619320.941630192,0,0.588
Canada,1952,Truman,55486364,0.953,2601,3354,1,Democracy,198489095290.41827,14104437.187619671,0,0.891
Canada,1953,Eisenhower,70844197,0.953,2669,3611,1,Democracy,205970748895.34674,14403762.281933628,0,0.58
Canada,1954,Eisenhower,43981103,0.953,2574,3362,1,Democracy,214591058417.39633,14872136.69835007,0,0.552
Canada,1955,Eisenhower,0,0.953,2887,3858,1,Democracy,229002784542.28024,15279154.402182182,0,0.681
Canada,1956,Eisenhower,0,0.953,3156,4662,1,Democracy,243406811035.8339,15619020.619594846,0,0.945
Canada,1957,Eisenhower,0,0.953,3187,4606,1,Democracy,249070045230.86115,16175365.585800128,0,0.888
Canada,1958,Eisenhower,0,0.953,3262,4061,1,Democracy,260534206380.20544,16502129.646055954,0,0.805
Canada,1959,Eisenhower,0,0.953,3657,4400,1,Democracy,270895777775.35568,17038737.73436733,0,0.526
Canada,1960,Eisenhower,0,0.937,3452,4147,1,Democracy,281669433876.2677,17313550.17500193,0,0.842
Canada,1961,Kennedy,70889407,0.937,3555,4263,1,Democracy,287934828055.3213,17716376.57485134,0,0.89
Canada,1962,Kennedy,0,0.937,3979,4427,1,Democracy,308503800653.374,18020129.561662503,0,0.9
Canada,1963,Johnson,0,0.937,4169,4536,1,Democracy,322703570371.15485,18347428.749432012,0,0.794
Canada,1964,Johnson,0,0.937,4620,5271,1,Democracy,346102219343.0094,18793093.626231197,0,NA
Canada,1965,Johnson,0,0.937,5257,6154,1,Democracy,366769711886.3982,19134432.14205563,0,0.862
Canada,1966,Johnson,0,0.937,6664,7265,1,Democracy,384035180030.29565,19404198.147921756,0,0.92
Canada,1967,Johnson,0,0.937,7626,8168,1,Democracy,411469197471.26227,19658099.5069108,0,0.863
Canada,1968,Johnson,0,0.937,9574,9218,1,Democracy,425699697846.54126,20035174.264138374,0,0.58
Canada,1969,Nixon,0,0.937,11046,10498,1,Democracy,444848672730.97784,20358315.286900986,0,0.808
Canada,1970,Nixon,0,0.956,11781,10411,1,Democracy,461154977390.29474,20707365.164493766,0,0.805
Canada,1971,Nixon,0,0.956,13468,11936,1,Democracy,484798898680.3561,21104566.566871405,0,0.574
Canada,1972,Nixon,0,0.956,15810,14361,1,Democracy,520991727263.0955,21359346.990860056,0,0.674
