pre_agg,post_agg,change_agg,treatment,cutpoint_margin,use,military_spending,total_pop,urban_pop,us_ally,entrance_year,imports,exports,ongoing_civwar,soccer_popular,infant_mortality,life_expectancy,democracy
0,0,0,1,0,0,47928000,8248000,950000,0,1830,545750000,511560000,0,1,NA,NA,1
4,8,4,1,0,1,27624304000,203169000,45119000,0,NA,4277700000,4380000000,0,1,73,64.1,0
0,0,0,1,0,1,254588000,5434000,1121000,0,1816,2691200000,2044100000,0,1,24,70.71,1
0,0,0,1,0,1,190736000,7943000,1101000,0,1908,779000000,775000000,0,1,65,66.3,0
0,0,0,1,0,1,201202000,8201000,1437000,0,1908,1378000000,1376000000,0,1,37,70.05,0
1,1,0,1,0,1,136667000,8579000,3157000,1,1839,603500000,687800000,0,1,109,58.05,1
0,1,1,1,0,1,1997507000,14415000,2256000,0,1918,3294000000,3319000000,0,1,23,70.1,0
0,0,0,1,0,1,1791267000,8137000,2297000,0,1816,10625500000,12164100000,0,1,12,74.07,1
0,0,0,1,0,1,1917298000,13438000,3765000,1,1816,24753700000,24075500000,0,1,13,73.64,1
1,0,-1,1,0,1,68571000,2821000,1176000,1,1882,288580000,321520000,0,1,47,68.47,0
0,1,1,1,0,1,871456000,20956000,2851000,0,1878,4513100000,2853260000,0,1,61,66.9,0
0,1,1,1,0,1,5137184000,55955000,16145000,1,1816,48106600000,45312700000,0,1,27,72.14,1
2,1,-1,1,0,1,23867415000,54182000,10330000,1,1816,121000000000,106000000000,0,1,12,73.67,1
0,0,0,1,0,1,380945000,3125000,595000,1,1920,5744290000,5622440000,0,0,14,72.41,1
0,0,0,1,0,1,543000000,3574000,607000,0,1922,21528200000,29180300000,0,0,8,74.11,1
1,1,0,1,0,1,210000000,105265000,15929000,0,1960,7600890000,11590100000,0,1,127,45.81,0
1,1,0,1,0,1,11930000000,44195000,32438000,1,1949,86630200000,85816000000,0,1,15,70.42,1
0,0,0,1,0,1,2922000000,14622000,9056000,1,1839,21147800000,18222500000,0,1,14,74.52,1
0,1,1,1,0,1,61000000,9667000,2718000,0,1960,1727110000,783610000,0,1,66,54.98,1
1,0,-1,1,0,1,1189000000,16618000,3298000,0,1975,8136070000,20193800000,0,1,116,47.24,0
0,0,0,1,0,1,3096000000,33481000,10730000,0,1962,40703300000,45188200000,0,1,30,70.99,0
0,0,0,1,1,0,41553000,18652000,956000,0,1878,91590000,110600000,0,1,NA,NA,0
0,0,0,1,1,0,267222000,6986000,1486000,0,1816,1155700000,1134400000,0,1,NA,NA,1
1,0,-1,1,1,1,530000000,17859000,1400000,0,1878,648800000,393600000,0,1,110,57.97,0
0,1,1,1,1,1,4800000,1645000,253000,1,1846,30030000,33000000,0,1,73,62.61,0
0,0,0,1,1,1,783558000,20010000,3388000,0,1878,1914760000,1621780000,0,1,60,66.8,0
1,1,0,1,1,1,297847000,8434000,1665000,0,1908,2047000000,2100000000,0,1,37,70.05,0
