ccode1,ccode2,year,dca
2,20,1996,1
2,20,1997,1
2,20,1998,1
2,20,1999,1
2,20,2000,1
2,20,2001,1
2,20,2002,1
2,20,2003,1
2,20,2004,1
2,20,2005,1
2,20,2006,1
2,20,2007,1
2,20,2008,1
2,20,2009,1
2,20,2010,1
2,100,2009,1
2,100,2010,1
2,140,1983,1
2,140,1984,1
2,140,1985,1
2,140,1986,1
2,140,1987,1
2,140,1988,1
2,140,1989,1
2,140,1990,1
2,140,1991,1
2,140,1992,1
2,140,1993,1
2,140,1994,1
2,140,1995,1
2,140,1996,1
2,140,1997,1
2,140,1998,1
2,140,1999,1
2,140,2000,1
2,140,2001,1
2,140,2002,1
2,140,2003,1
2,140,2004,1
2,140,2005,1
2,140,2006,1
2,140,2007,1
2,140,2008,1
2,140,2009,1
2,140,2010,1
2,155,2008,1
2,155,2009,1
2,155,2010,1
2,160,1998,1
2,160,1999,1
2,160,2000,1
2,160,2001,1
2,160,2002,1
2,160,2003,1
2,160,2004,1
2,160,2005,1
2,160,2006,1
2,160,2007,1
2,160,2008,1
2,160,2009,1
2,160,2010,1
2,200,1988,1
2,200,1989,1
2,200,1990,1
2,200,1991,1
2,200,1992,1
2,200,1993,1
2,200,1994,1
2,200,1995,1
2,200,1996,1
2,200,1997,1
2,200,1998,1
2,200,1999,1
2,200,2000,1
2,200,2001,1
2,200,2002,1
2,200,2003,1
2,200,2004,1
2,200,2005,1
2,200,2006,1
2,200,2007,1
2,200,2008,1
2,200,2009,1
2,200,2010,1
2,210,1998,1
2,210,1999,1
2,210,2000,1
2,210,2001,1
2,210,2002,1
2,210,2003,1
2,210,2004,1
2,210,2005,1
2,210,2006,1
2,210,2007,1
2,210,2008,1
2,210,2009,1
2,210,2010,1
2,212,2010,1
2,220,1994,1
2,220,1995,1
2,220,1996,1
2,220,1997,1
2,220,1998,1
2,220,1999,1
2,220,2000,1
2,220,2001,1
2,220,2002,1
2,220,2003,1
2,220,2004,1
2,220,2005,1
2,220,2006,1
2,220,2007,1
2,220,2008,1
2,220,2009,1
2,220,2010,1
2,225,1988,1
2,225,1989,1
2,225,1990,1
2,225,1991,1
2,225,1992,1
2,225,1993,1
2,225,1994,1
2,225,1995,1
2,225,1996,1
2,225,1997,1
2,225,1998,1
2,225,1999,1
2,225,2000,1
2,225,2001,1
2,225,2002,1
2,225,2003,1
2,225,2004,1
2,225,2005,1
2,225,2006,1
2,225,2007,1
2,225,2008,1
2,225,2009,1
2,225,2010,1
2,230,1980,1
2,230,1981,1
2,230,1982,1
2,230,1983,1
2,230,1984,1
2,230,1985,1
2,230,1986,1
2,230,1987,1
2,230,1988,1
2,230,1989,1
2,230,1990,1
2,230,1991,1
2,230,1992,1
2,230,1993,1
2,230,1994,1
2,230,1995,1
2,230,1996,1
2,230,1997,1
2,230,1998,1
2,230,1999,1
2,230,2000,1
2,230,2001,1
2,230,2002,1
2,230,2003,1
2,230,2004,1
2,230,2005,1
2,230,2006,1
2,230,2007,1
2,230,2008,1
2,230,2009,1
2,230,2010,1
2,290,1995,1
2,290,1996,1
2,290,1997,1
2,290,1998,1
2,290,1999,1
2,290,2000,1
2,290,2001,1
2,290,2002,1
2,290,2003,1
2,290,2004,1
2,290,2005,1
2,290,2006,1
2,290,2007,1
2,290,2008,1
2,290,2009,1
2,290,2010,1
2,305,1991,1
2,305,1992,1
2,305,1993,1
2,305,1994,1
2,305,1995,1
2,305,1996,1
2,305,1997,1
2,305,1998,1
2,305,1999,1
2,305,2000,1
2,305,2001,1
2,305,2002,1
2,305,2003,1
2,305,2004,1
2,305,2005,1
2,305,2006,1
2,305,2007,1
2,305,2008,1
2,305,2009,1
2,305,2010,1
2,310,1995,1
2,310,1996,1
2,310,1997,1
2,310,1998,1
2,310,1999,1
2,310,2000,1
2,310,2001,1
2,310,2002,1
2,310,2003,1
2,310,2004,1
2,310,2005,1
2,310,2006,1
2,310,2007,1
2,310,2008,1
2,310,2009,1
2,310,2010,1
2,316,1996,1
2,316,1997,1
2,316,1998,1
2,316,1999,1
2,316,2000,1
2,316,2001,1
2,316,2002,1
2,316,2003,1
2,316,2004,1
2,316,2005,1
2,316,2006,1
2,316,2008,1
2,316,2009,1
2,316,2010,1
2,317,1994,1
2,317,1995,1
2,317,1996,1
2,317,1997,1
2,317,1998,1
2,317,1999,1
2,317,2000,1
2,317,2001,1
2,325,2006,1
2,325,2007,1
2,325,2008,1
2,325,2009,1
2,325,2010,1
2,344,1994,1
2,344,1995,1
2,344,1996,1
2,344,1997,1
2,344,1998,1
2,344,1999,1
2,344,2000,1
2,350,1986,1
2,350,1987,1
2,350,1988,1
2,350,1989,1
2,350,1990,1
2,350,1991,1
2,350,1992,1
2,350,1993,1
2,350,1994,1
2,350,1995,1
2,350,1996,1
2,350,1997,1
2,350,1998,1
2,350,1999,1
2,350,2000,1
2,350,2001,1
2,350,2002,1
2,350,2003,1
2,350,2004,1
2,350,2005,1
2,350,2006,1
2,350,2007,1
2,350,2008,1
2,350,2009,1
2,350,2010,1
2,359,1995,1
2,359,1996,1
2,359,1997,1
2,359,1998,1
2,359,1999,1
2,359,2000,1
2,359,2001,1
2,359,2002,1
2,359,2003,1
2,359,2004,1
2,359,2005,1
2,359,2006,1
2,359,2007,1
2,359,2008,1
2,359,2009,1
2,359,2010,1
2,367,1995,1
2,367,1996,1
2,367,1997,1
2,367,1998,1
2,367,1999,1
2,367,2000,1
2,367,2001,1
2,368,1994,1
2,368,1995,1
2,368,1996,1
2,368,1997,1
2,368,1998,1
2,368,1999,1
2,368,2000,1
2,368,2001,1
2,368,2002,1
2,368,2003,1
2,368,2004,1
2,368,2005,1
2,368,2006,1
2,368,2007,1
2,368,2008,1
2,368,2009,1
2,368,2010,1
2,369,2000,1
2,369,2001,1
2,369,2002,1
2,369,2003,1
2,369,2004,1
2,369,2005,1
2,369,2006,1
2,369,2007,1
2,369,2008,1
2,369,2009,1
2,369,2010,1
2,371,2001,1
2,371,2002,1
2,371,2003,1
2,371,2004,1
2,371,2005,1
2,371,2006,1
2,371,2007,1
2,371,2008,1
2,375,1991,1
2,375,1992,1
2,375,1993,1
2,375,1994,1
2,375,1995,1
2,375,1996,1
2,375,1997,1
2,375,1998,1
2,375,1999,1
2,375,2000,1
2,375,2001,1
2,375,2002,1
2,375,2003,1
2,375,2004,1
2,375,2005,1
2,375,2006,1
2,375,2007,1
2,375,2008,1
2,375,2009,1
2,375,2010,1
2,380,1987,1
2,380,1988,1
