ccode1,ccode2,year,target_defense,challenger_defense
2,20,1942,0,1
2,20,1943,0,1
2,20,1944,0,1
2,20,1945,0,1
2,20,1946,0,1
2,20,1947,0,1
2,20,1948,0,1
2,20,1949,1,1
2,20,1950,1,1
2,20,1951,1,1
2,20,1952,1,1
2,20,1953,1,1
2,20,1954,1,1
2,20,1955,1,1
2,20,1956,1,1
2,20,1957,1,1
2,20,1958,1,1
2,20,1959,1,1
2,20,1960,1,1
2,20,1961,1,1
2,20,1962,1,1
2,20,1963,1,1
2,20,1964,1,1
2,20,1965,1,1
2,20,1966,1,1
2,20,1967,1,1
2,20,1968,1,1
2,20,1969,1,1
2,20,1970,1,1
2,20,1971,1,1
2,20,1972,1,1
2,20,1973,1,1
2,20,1974,1,1
2,20,1975,1,1
2,20,1976,1,1
2,20,1977,1,1
2,20,1978,1,1
2,20,1979,1,1
2,20,1980,1,1
2,20,1981,1,1
2,20,1982,1,1
2,20,1983,1,1
2,20,1984,1,1
2,20,1985,1,1
2,20,1986,1,1
2,20,1987,1,1
2,20,1988,1,1
2,20,1989,1,1
2,20,1990,1,1
2,20,1991,1,1
2,20,1992,1,1
2,20,1993,1,1
2,20,1994,1,1
2,20,1995,1,1
2,20,1996,1,1
2,20,1997,1,1
2,20,1998,1,1
2,20,1999,1,1
2,20,2000,1,1
2,40,1942,0,1
2,40,1943,0,1
2,40,1944,0,1
2,40,1945,1,1
2,40,1946,1,1
2,40,1947,1,1
2,40,1948,1,1
2,40,1949,1,1
2,40,1950,1,1
2,40,1951,1,1
2,40,1952,1,1
2,40,1953,1,1
2,40,1954,1,1
2,40,1955,1,1
2,40,1956,1,1
2,40,1957,1,1
2,40,1958,1,1
2,40,1959,1,1
2,40,1960,1,1
2,40,1961,1,1
2,40,1962,0,1
2,40,1963,0,1
2,40,1964,0,1
2,40,1965,0,1
2,40,1966,0,1
2,40,1967,0,1
2,40,1968,0,1
2,40,1969,0,1
2,40,1970,0,1
2,40,1971,0,1
2,40,1972,0,1
2,40,1973,0,1
2,40,1974,0,1
2,40,1975,0,1
2,40,1976,0,1
2,40,1977,0,1
2,40,1978,0,1
2,40,1979,0,1
2,40,1980,0,1
2,40,1981,0,1
2,40,1982,0,1
2,40,1983,0,1
2,40,1984,0,1
2,40,1985,0,1
2,40,1986,1,1
2,40,1987,1,1
2,40,1988,1,1
2,40,1989,1,1
2,40,1990,1,1
2,40,1991,1,1
2,40,1992,1,1
2,40,1993,1,1
2,40,1994,1,1
2,40,1995,1,1
2,40,1996,1,1
2,40,1997,1,1
2,40,1998,1,1
2,40,1999,1,1
2,40,2000,1,1
2,41,1942,0,1
2,41,1943,0,1
2,41,1944,0,1
2,41,1945,1,1
2,41,1946,1,1
2,41,1947,1,1
2,41,1948,1,1
2,41,1949,1,1
2,41,1950,1,1
2,41,1951,1,1
2,41,1952,1,1
2,41,1953,1,1
2,41,1954,1,1
2,41,1955,1,1
2,41,1956,1,1
2,41,1957,1,1
2,41,1958,1,1
2,41,1959,1,1
2,41,1960,1,1
2,41,1961,1,1
2,41,1962,1,1
2,41,1963,1,1
2,41,1964,1,1
2,41,1965,1,1
2,41,1966,1,1
2,41,1967,1,1
2,41,1968,1,1
2,41,1969,1,1
2,41,1970,1,1
2,41,1971,1,1
2,41,1972,1,1
2,41,1973,1,1
2,41,1974,1,1
2,41,1975,1,1
2,41,1976,1,1
2,41,1977,1,1
2,41,1978,1,1
2,41,1979,1,1
2,41,1980,1,1
2,41,1981,1,1
2,41,1982,1,1
2,41,1983,1,1
2,41,1984,1,1
2,41,1985,1,1
2,41,1986,1,1
2,41,1987,1,1
2,41,1988,1,1
2,41,1989,1,1
2,41,1990,1,1
2,41,1991,1,1
2,41,1992,1,1
2,41,1993,1,1
2,41,1994,1,1
2,41,1995,1,1
2,41,1996,1,1
2,41,1997,1,1
2,41,1998,1,1
