pos_name,firstlast,hawkMean,hawkLower,hawkUpper,pos_start
President of the United States,Dwight Eisenhower,0.392774183849439,0.345108199587385,0.440099609328712,1953-01-20
President of the United States,Gerald Ford,0.58637673284319,0.544466892865837,0.626226726653018,1974-08-09
President of the United States,Harry Truman,0.649273710001934,0.596405969226394,0.706316408048267,1945-04-12
President of the United States,Jimmy Carter,0.402075987360543,0.36959177634032,0.434599325767877,1977-01-20
President of the United States,John Kennedy,0.526684726974131,0.492110079663754,0.561268666564494,1961-01-20
President of the United States,Lyndon Johnson,0.416477868060876,0.382726573496452,0.452850405159743,1963-11-22
President of the United States,Richard Nixon,0.590262290254812,0.548328469532186,0.629731937508517,1969-01-20
President of the United States,Ronald Reagan,0.65861466587435,0.61688247401396,0.697001932653709,1981-01-20
Secretary of State,Alexander Haig,0.660481586993425,0.587667600906439,0.731143647155641,1981-01-22
Secretary of State,Christian Herter,0.492705929943349,0.428058143421004,0.544922620531024,1959-04-22
Secretary of State,Cyrus Vance,0.377353461818135,0.304882252458363,0.43246149502247,1977-01-23
Secretary of State,Dean Rusk,0.433896807810487,0.36310950580219,0.488581145684402,1961-01-21
Secretary of State,Dean Acheson,0.641385852258538,0.563639489884493,0.713268142870455,1949-01-21
Secretary of State,Edmund Muskie,0.377353461818135,0.304882252458363,0.43246149502247,1980-05-08
Secretary of State,George Marshall,0.635790949979733,0.557638055619332,0.701611434270687,1947-01-01
Secretary of State,George Shultz,0.586647893034041,0.51169725972119,0.647810809060985,1982-07-16
Secretary of State,Henry Kissinger,0.49582569818229,0.427662275475332,0.550738459838198,1973-09-22
Secretary of State,John Dulles,0.483738352567563,0.417278479926742,0.536107105769109,1953-01-21
Secretary of State,William Rogers,0.55616650385928,0.483673397854087,0.613327303680102,1969-01-23
Secretary of Defense,Caspar Weinberger,0.650639158943256,0.601552215028556,0.699929903922937,1981-01-21
Secretary of Defense,Charles Wilson,0.496356390175575,0.468362127180659,0.52659358060266,1953-01-28
Secretary of Defense,Clark Clifford,0.415485797616184,0.382821644808215,0.45089563046908,1968-03-01
Secretary of Defense,Donald Rumsfeld,0.607625770199238,0.579308617512145,0.635971839503275,1975-11-20
Secretary of Defense,Frank Carlucci,0.68271256653397,0.638385644587637,0.724683578355819,1987-11-23
Secretary of Defense,George Marshall,0.654995960311242,0.604390732433338,0.706093925689726,1950-09-21
Secretary of Defense,Harold Brown,0.316260456850703,0.284551585457989,0.344754099941746,1977-01-21
Secretary of Defense,James Forrestal,0.521349858658779,0.492847527645658,0.550500535272521,1947-09-17
Secretary of Defense,Louis Johnson,0.645036312490764,0.588859497838282,0.698261259067473,1949-03-23
Secretary of Defense,Melvin Laird,0.58188109984638,0.548700189708585,0.614917627912342,1969-01-22
Secretary of Defense,Neil McElroy,0.496356390175575,0.468362127180659,0.52659358060266,1957-10-09
Secretary of Defense,Robert Lovett,0.65400388986655,0.604202870694694,0.705903108551342,1951-09-17
Secretary of Defense,Robert McNamara,0.438592962441235,0.404358213605046,0.47518023480441,1961-01-21
Secretary of Defense,Thomas Gates,0.500759049698244,0.470258268428251,0.52975453595365,1959-12-02
Secretary of Defense,James Schlesinger,0.430876703760788,0.400534216286184,0.457119156106356,1973-07-02
Secretary of Defense,Elliot Richardson,0.592705470081046,0.555976179194214,0.633215586670013,1973-01-30
Director of Central Intelligence,Allen Dulles,0.490799401877766,0.451051466655746,0.528964869415695,1953-02-26
Director of Central Intelligence,George Bush,0.608440868598064,0.575095553011255,0.642676038190587,1976-01-30
Director of Central Intelligence,Hoyt Vandenberg,0.522341929103471,0.494513422695962,0.551718563997394,1946-06-10
Director of the Central Intelligence Agency,James Schlesinger,0.430876703760788,0.400534216286184,0.457119156106356,1973-01-23
Director of Central Intelligence,John McCone,0.44211218589583,0.417126815449968,0.469534118969748,1961-11-29
Director of Central Intelligence,Richard Helms,0.50359567589154,0.469715841395458,0.536288337202906,1966-06-30
Director of Central Intelligence,Roscoe Hillenkoetter,0.522341929103471,0.494513422695962,0.551718563997394,1947-05-01
Director of Central Intelligence,Sidney Souers,0.521349858658779,0.492847527645658,0.550500535272521,1946-01-23
Director of the CIA,Stansfield Turner,0.509113057242841,0.456382305571529,0.558619957112073,1977-03-09
Director of Central Intelligence,Walter Smith,0.533166299338137,0.49642985223166,0.568908416905671,1950-10-07
Director of the CIA,William Casey,0.649647088498564,0.600967586044775,0.694778458717883,1981-01-28
Director of Central Intelligence,William Colby,0.508716727339535,0.467726297827097,0.544566328960644,1973-09-04
Director of Central Intelligence,William Raborn,0.533166299338137,0.49642985223166,0.568908416905671,1965-04-28
Director of Central Intelligence,William Webster,0.681669275116792,0.632017370643025,0.731559939767709,1987-05-26
Chairman of the Joint Chiefs of Staff,Arthur Radford,0.686264290893608,0.629635533750483,0.735492675948699,1953-08-15
Chairman of the Joint Chiefs of Staff,David Jones,0.725100570356408,0.672227130647366,0.775340858427217,1978-06-21
Chairman of the Joint Chiefs of Staff,Earle Wheeler,0.675439920658942,0.630408518345021,0.718363115467932,1964-07-03
Chairman of the Joint Chiefs of Staff,George Brown,0.683246083948205,0.660737764360373,0.707299969934548,1974-07-01
Chairman of the Joint Chiefs of Staff,John Vessey,0.725100570356408,0.672227130647366,0.775340858427217,1982-06-18
