mic_id,micname,year,stdate,enddate,days_duration,militarized_events,total_involved,fatalmin1,fatalmin2,fatalmax1,fatalmax2,fatalmin_ratio,fatalmax_ratio,mean_polity21,mean_v2x_polyarchy1,mean_xm_qudsest1,mean_polity22,mean_v2x_polyarchy2,mean_xm_qudsest2,polity2_ratio,v2x_polyarchy_ratio,xm_qudsest_ratio
89,The Franco-Spanish War of 1823,1822,1822-09-21,1823-11-02,408,12,2,30,140,35,160,0.21428571428571427,0.21875,3.6999999999999997,2.71943231441048,4.193220725400607,3.6999999999999997,2.699781659388646,4.226345018306002,1,1.007278608976951,0.992162425745669
189,The First Russo-Turkish War of 1828–1829,1827,1827-11-01,1829-09-10,680,12,2,8295,34490,12615,41310,0.24050449405624819,0.3053740014524328,1,1.0786026200873362,1.3495556733591825,1,1.1572052401746724,1.3495556733591825,1,0.9320754716981132,1
1552,The Mexican-American War of 1846–1848,1843,1843-10-20,1848-03-30,1624,93,2,2107,7494,2907,11213,0.28115825994128635,0.25925265317042717,9.549999999999999,4.497816593886462,5.781684531180303,4.15,3.2205240174672487,4.292124481940766,2.301204819277108,1.3966101694915252,1.3470449320626423
19,The Austro-Sardinian War of 1848–1849,1848,1848-03-28,1849-08-09,500,49,6,2570,4043,3522,5200,0.6356665842196388,0.6773076923076923,2.8,NA,4.701874612649192,1.63,1.8980349344978165,2.6027308068342894,1.7177914110429449,NA,1.806515910252009
375,The First Schleswig-Holstein War of 1848–1849,1848,1848-03-01,1849-07-10,466,33,8,357,449,587,692,0.7951002227171492,0.8482658959537572,3.7,2.5049126637554586,3.703785246124483,1.525,3.98853711790393,2.7972540531926957,2.426229508196722,0.628027918434378,1.324078963044884
175,The War of the Roman Republic of 1849,1849,1849-04-24,1849-07-01,69,5,4,890,1400,1180,1900,0.6357142857142857,0.6210526315789474,4.824999999999999,3.0682314410480345,4.210161831849473,1.225,1.7860262008733623,2.4116330107458186,3.938775510204081,1.7179095354523226,1.745772185523138
1528,The La Plata War of 1851–1852,1851,1851-05-04,1852-02-03,276,9,2,255,802,429,1033,0.3179551122194514,0.41529525653436594,2.8,3.024017467248908,3.7676406785833,3.25,1.7860262008733623,3.957363345742898,0.8615384615384615,1.693154034229829,0.9520583149475798
57,The Crimean War of 1853–1856,1853,1853-05-31,1855-11-26,910,59,7,49940,53670,61355,66425,0.9305012111049004,0.923673315769665,2.98,2.756277292576419,3.0545786704595335,1,1.1080786026200873,1.3495556733591825,2.98,2.48743842364532,2.263395820386108
8,The Anglo-Persian War of 1856–1857,1856,1856-07-11,1857-03-26,259,7,2,27,1000,75,1400,0.027,0.05357142857142857,6.8500000000000005,4.085152838427947,4.97272651702904,1,NA,1.34955249986851,6.8500000000000005,NA,3.6847225413709683
115,The War of Italian Unification of 1859,1859,1859-04-09,1859-06-24,77,21,4,7930,6430,10040,8510,1.2332814930015552,1.1797884841363102,2.3499999999999996,2.7292576419213974,2.7945149868341987,2.5749999999999997,3.0633187772925763,2.8494032169009005,0.9126213592233009,0.8909479686386316,0.9807369382679367
1580,The First Spanish-Moroccan War of 1859–1860,1859,1859-10-22,1860-04-26,188,9,2,1050,3700,1400,5100,0.28378378378378377,0.27450980392156865,2.8,2.8766375545851526,3.7722910003868066,2.8,1.029475982532751,3.8340093074255743,1,2.794273594909862,0.9839024107429176
112,The Italian-Roman War of 1860,1860,1860-09-11,1860-09-29,19,7,4,280,470,325,550,0.5957446808510638,0.5909090909090909,2.125,2.8766375545851526,3.441981337905397,1.9,2.193777292576419,3.0431135855317892,1.118421052631579,1.311271460562329,1.1310722525343744
113,The Neapolitan War of 1860–1861,1860,1860-09-18,1861-02-13,149,4,4,340,1050,375,1175,0.3238095238095238,0.3191489361702128,2.125,2.8766375545851526,3.441981337905397,1.6749999999999998,2.0365720524017465,2.728680961757526,1.2686567164179106,1.4124899490753149,1.2614084922879512
135,The Franco-Mexican War of 1862–1867,1862,1862-04-19,1867-02-01,1750,74,2,4432,3496,6809,5243,1.2677345537757436,1.2986839595651345,4.15,2.7882096069868996,4.292124481940766,2.8,2.9355895196506547,3.976180069188716,1.4821428571428574,0.9497954629973969,1.07945928183693
194,The Second Schleswig-Holstein War of 1864,1863,1863-10-01,1864-07-31,305,20,7,890,1256,1230,1611,0.7085987261146497,0.7635009310986964,3.8125,2.8668122270742358,3.6853258731438623,5.59,4.177510917030568,4.454564740984806,0.6820214669051878,0.6862488893534731,0.8273144712067015
1519,The Ecuadorian-Colombian War of 1863,1863,1863-08-01,1863-12-06,128,9,2,70,110,260,300,0.6363636363636364,0.8666666666666667,3.25,3.024017467248908,3.929803303698435,5.05,2.0120087336244543,4.61581143223477,0.6435643564356436,1.5029842647856753,0.8513786495380726
1590,The Lopez War of 1864–1870,1864,1864-09-22,1870-03-09,1995,108,4,23627,34723,34800,48471,0.6804423580911788,0.7179550659157021,2.125,2.1741266375545854,3.2935884497405206,2.8000000000000003,3.102620087336245,3.597840618674617,0.7589285714285714,0.7007389162561576,0.9154347840327131
261,The Seven Weeks War of 1866,1866,1866-03-28,1866-07-28,121,64,12,5210,14361,6220,16907,0.362788106677808,0.3678949547524694,2.51875,2.741539301310044,3.4266656346959365,2.9285714285714284,2.8275109170305677,3.641128524443816,0.8600609756097561,0.9695945945945947,0.9410998847450355
